,State,County,Returns Total,Total AGI,Outflow,Outflow AGI,Inflow,Inflow AGI,Net Inflow(Outflow),Percentage Flow
1351,IN,Parke County,5471,288887,352,13552,360,15969,8,0.146
436,UT,Juab County,3260,202144,256,11298,301,15514,45,1.38
168,TX,Chambers County,13614,1245940,1331,85244,1668,128359,337,2.475
1536,IA,Hamilton County,5652,386420,335,16450,334,15265,-1,-0.018000000000000002
128,CO,Bent County,1201,52524,70,2161,103,3635,33,2.748
1086,GA,Baldwin County,12853,668214,868,34261,919,43487,51,0.397
565,NC,Dare County,15009,1028374,1144,54142,1312,96948,168,1.119
486,OR,Douglas County,36511,1975864,2117,98973,2578,114980,461,1.263
428,CA,Calaveras County,15854,1096750,1273,75460,1494,116076,221,1.3940000000000001
1552,OH,Meigs County,7476,371028,342,11632,339,15000,-3,-0.04
2330,IL,Union County,6215,345137,291,11964,243,10156,-48,-0.772
645,SC,Edgefield County,7974,481707,633,30726,712,41632,79,0.991
1330,OR,Multnomah County,307398,25856434,29500,1986099,29991,1853087,491,0.16
35,WA,San Juan County,7114,840706,424,34588,711,88649,287,4.034
2376,MS,Jasper County,5470,254251,378,13312,333,12261,-45,-0.823
2298,MI,Gratiot County,13458,726225,897,33297,799,31318,-98,-0.728
372,VA,Fluvanna County,9583,674777,776,46051,923,57748,147,1.534
2477,GA,Dodge County,5638,252816,357,10898,303,8108,-54,-0.958
185,TX,Montague County,6414,375967,486,20500,636,38370,150,2.339
2777,TX,Gray County,6530,368197,500,25917,394,15844,-106,-1.6230000000000002
676,GA,Quitman County,635,24467,51,1711,57,2436,6,0.945
2498,AL,Franklin County,9332,447192,600,22586,508,19713,-92,-0.986
574,MD,Talbot County,14938,1444285,1017,81151,1183,118497,166,1.111
283,GA,Morgan County,6401,452406,455,27849,575,37985,120,1.875
2857,KS,Chautauqua County,1069,53070,64,2905,42,1993,-22,-2.0580000000000003
835,TN,Henderson County,9136,451933,510,17509,573,21262,63,0.69
837,KY,Larue County,4798,236835,371,13585,404,14669,33,0.688
944,ID,Power County,2433,101425,175,7208,189,7106,14,0.575
475,TX,Caldwell County,13478,695896,1345,55528,1520,64514,175,1.298
514,WA,Whatcom County,81068,6094016,4917,265593,5892,368780,975,1.203
947,IN,Morgan County,26081,1727418,2060,103343,2208,110241,148,0.5670000000000001
2775,IA,Decatur County,2409,141820,193,7289,154,5682,-39,-1.619
2046,NY,Cortland County,16404,938314,1070,51745,990,41500,-80,-0.488
2994,CA,Alpine County,336,21089,49,1595,23,1877,-26,-7.7379999999999995
602,WI,Oneida County,15987,1040897,1006,50771,1175,73108,169,1.057
119,TX,Waller County,14338,1002214,1624,87181,2028,144646,404,2.818
1869,NE,Saline County,5059,293255,377,16281,360,15711,-17,-0.336
1778,MN,Beltrami County,15232,902390,1079,48944,1041,51051,-38,-0.249
2401,MN,Chippewa County,4694,287301,321,13456,281,11793,-40,-0.852
111,NC,Lincoln County,28565,2088459,2070,125002,2908,216957,838,2.9339999999999997
2211,MT,Cascade County,30976,1864635,2406,112362,2207,97744,-199,-0.642
2823,MO,Johnson County,16615,967856,2222,96511,1921,84551,-301,-1.8119999999999998
1676,MO,Callaway County,15366,871930,1208,46405,1184,54731,-24,-0.156
739,MN,Cook County,2425,143265,141,6731,161,14284,20,0.825
156,FL,Dixie County,3833,158828,281,9659,378,13557,97,2.531
1948,MI,Gogebic County,5391,256169,337,13192,315,12925,-22,-0.408
2571,IA,Monona County,3321,188009,200,8140,163,7637,-37,-1.114
989,RI,Bristol County,18784,2357316,1317,141968,1415,122626,98,0.522
2274,NY,Nassau County,567572,75398637,29902,3266495,25896,2627221,-4006,-0.706
1254,SC,Union County,8661,373024,381,13773,401,13980,20,0.231
1357,MN,Pipestone County,3572,212049,182,7823,187,6929,5,0.14
230,TN,Bledsoe County,3544,161788,242,9058,316,13119,74,2.088
671,NM,Valencia County,23866,1194664,1478,64182,1706,71704,228,0.955
2523,WV,Logan County,9317,461372,408,15581,312,10856,-96,-1.03
2174,NJ,Morris County,196004,30808198,14030,1765885,12821,1505246,-1209,-0.617
2468,KS,Montgomery County,10395,534447,692,26827,594,22306,-98,-0.943
2652,KS,Edwards County,1102,58170,65,2632,51,1781,-14,-1.27
