State,County,Returns Total,Total AGI,Outflow,Outflow AGI,Inflow,Inflow AGI,Net Inflow(Outflow),Flow(%),Unemployment Rate(%),1 Bed Average,2 Bed Average,Highest Marginal Income Tax Rate (%),Median Home Price 2017
WV,Pocahontas County,3001,131778,123,4713,117,4613,-6,-0.2,6.2,519,690,6.5,121011
AR,Lincoln County,3000,148010,195,7538,177,5701,-18,-0.6,4.3,568,731,6.9,68478
AR,Perry County,2997,156384,193,7327,252,10356,59,1.969,4.2,719,862,6.9,100457
TX,Marion County,2995,139390,308,11388,280,12645,-28,-0.935,4.6,553,697,0.0,95165
UT,Emery County,2995,170547,170,8303,159,6497,-11,-0.367,4.8,607,697,4.95,149293
MN,Clearwater County,2994,200234,179,8039,140,5014,-39,-1.303,8.1,563,749,9.85,132273
AL,Coosa County,2993,143833,293,10977,288,11927,-5,-0.167,4.2,541,679,5.0,92137
MS,Kemper County,2973,114923,181,6877,143,5132,-38,-1.278,7.4,553,735,5.0,73262
KY,Hancock County,2972,173163,166,8363,188,7828,22,0.74,4.2,562,745,5.0,115896
KY,Clinton County,2972,114718,134,3646,118,3794,-16,-0.538,5.5,502,639,5.0,69682
AL,Bullock County,2948,108587,175,5388,180,5131,5,0.17,4.7,513,643,5.0,70501
ND,Traill County,2948,224214,216,10712,187,10488,-29,-0.984,2.6,558,723,2.9,129491
MO,Iron County,2944,133982,212,6787,255,7166,43,1.461,5.4,538,641,5.4,87328
MO,Maries County,2930,139850,243,8760,228,8415,-15,-0.512,3.3,496,641,5.4,129048
GA,Terrell County,2929,127622,222,6720,185,6893,-37,-1.263,6.6,630,766,5.75,88177
GA,Dooly County,2927,137361,216,8865,186,5425,-30,-1.025,4.6,605,695,5.75,88556
OK,Blaine County,2925,245215,219,13710,193,10148,-26,-0.889,2.0,600,798,5.0,85681
MO,Harrison County,2923,123320,149,5635,120,4190,-29,-0.992,3.1,530,705,5.4,76504
MT,Rosebud County,2915,179246,234,11268,172,8796,-62,-2.127,5.3,607,697,6.9,129955
TX,Archer County,2902,205739,191,8390,232,13267,41,1.413,3.1,659,851,0.0,129170
NE,Wayne County,2901,195316,249,8760,200,8864,-49,-1.689,2.4,491,653,6.84,140909
IL,Hamilton County,2900,166358,123,4215,108,3973,-15,-0.517,4.4,538,705,4.95,93481
KY,Bracken County,2894,147754,127,4276,215,8072,88,3.041,4.9,691,908,5.0,110353
GA,Telfair County,2891,118490,216,6924,209,6138,-7,-0.242,6.8,495,659,5.75,59179
AL,Perry County,2885,96506,172,4890,127,4553,-45,-1.56,6.5,528,606,5.0,72928
