State,County,Returns Total,Total AGI,Outflow,Outflow AGI,Inflow,Inflow AGI,Net Inflow(Outflow),Flow(%),Unemployment Rate(%),1 Bed Average,2 Bed Average,Highest Marginal Income Tax Rate (%),Median Home Price 2017
WY,Laramie County,37457,2658257,3187,168850,3148,169359,-39,-0.104,3.9,689,917,0.0,231243
AR,Faulkner County,37422,2477199,3095,137232,3154,140359,59,0.158,3.3,719,862,6.9,167462
ID,Bonneville County,37389,2960254,2882,146563,3263,172875,381,1.019,2.4,591,783,6.925,193546
NC,Harnett County,37386,2048732,4916,231513,5920,275460,1004,2.685,4.6,633,842,5.25,161265
AL,Calhoun County,37377,1968333,2333,94110,2153,85119,-180,-0.482,4.7,542,721,5.0,127890
WA,Cowlitz County,37276,2397427,2567,127460,3282,176755,715,1.918,5.9,719,901,0.0,235917
NC,Robeson County,37255,1490227,1837,64452,1465,48079,-372,-0.999,5.9,521,693,5.25,82505
MN,Carver County,37236,4758987,3011,290412,3444,284037,433,1.163,2.5,923,1164,9.85,344435
MS,Madison County,37142,3416547,3194,215953,3358,244610,164,0.442,3.7,789,944,5.0,235722
KY,Hardin County,37070,2239849,3474,169880,3727,171213,253,0.682,4.1,599,797,5.0,158752
TX,Potter County,36969,2149711,4392,195398,3726,158867,-666,-1.802,2.9,665,869,0.0,95098
IA,Woodbury County,36667,2251500,2159,108078,2206,79792,47,0.128,2.5,638,848,8.53,132455
UT,Cache County,36658,2533221,3445,148506,2877,141912,-568,-1.549,2.7,601,736,4.95,238659
OH,Geauga County,36651,4022005,2272,165597,2241,187461,-31,-0.085,4.3,678,840,4.997,278318
OR,Douglas County,36511,1975864,2117,98973,2578,114980,461,1.263,5.4,614,816,9.9,220646
MD,Cecil County,36332,2621910,2494,149379,2713,141380,219,0.603,4.4,1047,1266,5.75,253944
ND,Burleigh County,36303,3208311,2770,158312,2510,132546,-260,-0.716,2.6,701,921,2.9,269916
MI,Lenawee County,36200,2120869,1886,94370,1916,93679,30,0.083,4.1,639,850,4.25,153195
WI,Ozaukee County,36095,4772249,2450,219707,2526,227290,76,0.211,2.5,789,969,7.65,311909
IN,Vigo County,35904,2043066,2400,106523,1970,80058,-430,-1.198,4.4,643,815,3.23,101799
MO,Platte County,35890,3619257,4675,284024,5074,311472,399,1.112,2.6,762,928,5.4,240702
KY,Daviess County,35825,2241060,1636,79669,1666,76280,30,0.084,4.0,562,745,5.0,144685
SC,Sumter County,35798,1746685,2918,127137,2911,121537,-7,-0.02,4.0,654,816,7.0,141754
VA,Roanoke County,35790,2867149,3316,179856,3462,191542,146,0.408,2.7,719,912,5.75,204593
OH,Ashtabula County,35750,1812387,1689,69746,1568,61961,-121,-0.338,5.3,541,720,4.997,121719
OH,Tuscarawas County,35717,2116732,1628,70692,1529,67181,-99,-0.277,4.6,592,788,4.997,136424
NY,Steuben County,35641,2251443,1952,119238,1677,92282,-275,-0.772,4.9,633,760,8.82,104104
NY,St. Lawrence County,35640,2007254,1521,73068,1232,65221,-289,-0.811,5.6,674,852,8.82,100687
NY,Wayne County,35591,2143340,2165,102826,1935,98634,-230,-0.646,4.2,788,983,8.82,134887
TN,Bradley County,35290,1973216,2358,100377,2681,124965,323,0.915,3.6,599,797,0.0,174880
IL,DeKalb County,35265,2401855,3293,148854,2953,135873,-340,-0.964,4.4,762,1013,4.95,178675
OR,Yamhill County,35261,2601899,2750,154141,3101,197749,351,0.995,3.8,1232,1448,9.9,333044
MD,Wicomico County,35135,2100913,2415,117676,2533,101091,118,0.336,5.2,835,1068,5.75,174301
GA,Carroll County,34993,2262293,2974,132952,3165,152347,191,0.546,4.0,957,1099,5.75,148792
OK,Comanche County,34951,1874806,4286,190027,3790,162135,-496,-1.419,3.9,591,786,5.0,144256
PA,Northumberland County,34768,1857310,1729,72032,1751,69050,22,0.063,5.2,598,760,3.07,120859
NH,Grafton County,34672,3202363,3249,213787,3169,223098,-80,-0.231,2.1,885,1144,0.0,232826
TN,Sevier County,34661,1784555,2991,115848,3029,140198,38,0.11,3.5,663,777,0.0,202389
NC,Craven County,34604,2057062,3945,173227,3902,191891,-43,-0.124,4.2,731,972,5.25,170789
MD,Calvert County,34506,3363678,2543,188416,2571,187875,28,0.081,3.5,1561,1793,5.75,377143
WI,St. Croix County,34450,3259382,2398,176143,2739,187565,341,0.99,3.0,923,1164,7.65,271290
NC,Moore County,34245,2697934,2714,170905,3490,277716,776,2.266,3.8,742,852,5.25,250191
WI,Dodge County,34122,2154396,2363,127966,2501,119032,138,0.404,2.6,618,822,7.65,176767
GA,Newton County,34094,1772375,3540,147967,4209,165395,669,1.962,4.5,957,1099,5.75,166382
AL,Houston County,34076,2174907,2672,115264,2652,118412,-20,-0.059,4.0,576,748,5.0,147968
TN,Madison County,33945,2062505,2518,118240,2465,105445,-53,-0.156,3.8,642,782,0.0,141580
GA,Clarke County,33925,2198885,4597,215571,4082,189358,-515,-1.518,4.0,711,836,5.75,189477
IA,Pottawattamie County,33624,2192393,2130,101089,1997,92374,-133,-0.396,2.3,792,987,8.53,153653
TN,Maury County,33569,2042068,2941,149879,3860,221548,919,2.738,3.2,692,816,0.0,205329
MN,Sherburne County,33542,2709018,3331,193432,3661,198032,330,0.984,3.2,923,1164,9.85,267469
AR,Garland County,33487,1977673,2219,110569,2530,126788,311,0.929,4.0,612,814,6.9,147608
PA,Lawrence County,33423,1919279,1453,63397,1360,62218,-93,-0.278,5.1,628,817,3.07,120129
GA,Lowndes County,33402,1890485,3636,150388,3425,149489,-211,-0.632,4.1,598,760,5.75,137434
MI,Lapeer County,33344,2159093,2238,107764,2178,115728,-60,-0.18,5.2,781,1009,4.25,182073
NC,Nash County,33289,1871583,2475,98260,2532,100477,57,0.171,5.1,599,777,5.25,139247
KY,Campbell County,33253,2584463,2961,168908,2983,164798,22,0.066,3.3,691,908,5.0,194708
GA,Bartow County,33131,2017287,2697,126354,3255,152508,558,1.684,3.8,957,1099,5.75,185317
AL,Etowah County,33042,1743402,1675,64519,1795,76285,120,0.363,4.1,533,709,5.0,120944
RI,Newport County,32927,3253954,3027,243831,2789,271974,-238,-0.723,3.5,910,1087,5.99,422705
RI,Newport County,32927,3253954,3027,243831,2789,271974,-238,-0.723,3.5,1085,1385,5.99,422705
FL,Highlands County,32767,1503479,2539,97897,3167,139563,628,1.917,4.8,630,838,0.0,108485
GA,Whitfield County,32585,1918028,1838,85761,1715,67691,-123,-0.377,4.7,625,728,5.75,146749
WI,Jefferson County,32517,2165164,2435,120275,2477,221368,42,0.129,2.9,660,878,7.65,205423
NC,Cleveland County,32516,1711981,1876,72256,2059,81015,183,0.563,4.0,652,749,5.25,120387
WI,Manitowoc County,32493,2044450,1456,68368,1429,74912,-27,-0.083,3.1,522,689,7.65,132119
AR,Craighead County,32462,2108035,2526,106905,2645,112980,119,0.367,3.1,630,764,6.9,141778
NY,Tompkins County,32333,2576912,3192,175074,2748,146518,-444,-1.373,3.6,1059,1260,8.82,206347
WV,Monongalia County,32214,2541792,3567,201790,3202,172762,-365,-1.133,4.1,765,879,6.5,225498
IN,Howard County,32132,1878569,1824,83284,1876,76121,52,0.162,4.1,563,737,3.23,108941
VA,Frederick County,32111,2427790,2551,143722,3233,206752,682,2.124,2.6,765,1018,5.75,243356
OH,Muskingum County,31923,1708286,1536,72012,1439,62369,-97,-0.304,5.3,609,749,4.997,120646
NC,Rockingham County,31670,1659816,1578,66782,1795,78803,217,0.685,4.5,531,706,5.25,128267
NY,Chemung County,31594,1944783,1718,94187,1536,72355,-182,-0.576,4.7,698,880,8.82,124406
TX,Victoria County,31584,2092373,2099,114108,1827,89252,-272,-0.861,3.8,792,970,0.0,143456
MI,Midland County,31566,3143163,2195,201406,2196,141193,1,0.003,4.0,629,830,4.25,151467
WA,Grant County,31550,1835683,1797,80163,2127,100812,330,1.046,6.2,615,771,0.0,198919
WA,Island County,31547,2472699,3691,221091,4411,277615,720,2.282,5.2,850,1052,0.0,406784
FL,Monroe County,31459,3623549,4183,299772,3500,408486,-683,-2.171,2.6,1222,1625,0.0,556173
TX,Rockwall County,31246,3703952,3566,264880,4519,376133,953,3.05,3.2,948,1163,0.0,291816
CA,Sutter County,31241,1936203,2437,115705,2518,107607,81,0.259,7.5,720,942,12.3,307563
PA,Crawford County,31206,1695849,1490,66604,1297,53586,-193,-0.618,4.7,584,737,3.07,119504
WV,Wood County,31173,1838132,1476,73661,1275,54564,-201,-0.645,5.5,620,744,6.5,130480
TX,Bowie County,31066,1830960,2283,113931,2244,96226,-39,-0.126,4.9,665,843,0.0,138825
MT,Cascade County,30976,1864635,2406,112362,2207,97744,-199,-0.642,3.6,599,797,6.9,182397
SC,Lancaster County,30807,2033727,2155,170842,3205,231016,1050,3.408,3.8,622,797,7.0,206458
IN,Bartholomew County,30783,2326750,2217,134015,2168,116938,-49,-0.159,2.6,764,911,3.23,156045
FL,Nassau County,30775,2618023,2430,142458,3695,364006,1265,4.11,3.2,829,1014,0.0,260215
AL,Limestone County,30768,2193176,2125,140568,3100,201811,975,3.169,3.5,646,768,5.0,168090
IA,Dallas County,30754,3635281,3617,278590,4672,335788,1055,3.43,1.7,756,934,8.53,258355
CA,Mendocino County,30616,1834542,1819,104702,1782,112445,-37,-0.121,3.9,826,1098,12.3,437677
GA,Floyd County,30554,1865901,1790,99242,1899,81521,109,0.357,4.3,592,729,5.75,145615
WV,Cabell County,30518,1880712,2488,118067,1839,72949,-649,-2.127,4.7,618,748,6.5,141620
WI,Wood County,30483,1817839,1774,92021,1634,74636,-140,-0.459,3.5,542,721,7.65,145428
NY,Clinton County,30466,1798988,1151,60913,1181,56075,30,0.098,4.4,703,857,8.82,146173
AL,Marshall County,30376,1731420,1907,75711,2032,93034,125,0.412,3.4,495,655,5.0,128337
AZ,Navajo County,30364,1433215,2405,106421,3024,141791,619,2.039,7.8,619,777,4.54,145644
OK,Rogers County,30185,2339311,2657,138145,2905,177085,248,0.822,3.3,690,894,5.0,165153
VA,Rockingham County,30142,2001091,1773,90463,2111,118957,338,1.121,2.6,696,892,5.75,230336
IN,Kosciusko County,30138,2079272,1992,133031,1924,103017,-68,-0.226,2.6,656,802,3.23,166495
MO,Buchanan County,30116,1758676,2191,107181,1721,68515,-470,-1.561,3.0,621,797,5.4,132245
AL,Lauderdale County,30111,1848340,1796,81278,1738,85208,-58,-0.193,4.2,564,713,5.0,148909
NH,Cheshire County,29945,2173431,1915,117694,1942,119683,27,0.09,2.5,926,1193,0.0,214611
PA,Clearfield County,29885,1591541,1255,54793,1189,51201,-66,-0.221,5.0,586,700,3.07,100733
NC,Burke County,29713,1523282,1772,71901,1920,83117,148,0.498,3.6,556,683,5.25,136337
OH,Hancock County,29414,2066780,1858,98847,1823,96826,-35,-0.119,3.4,593,779,4.997,143294
TX,Hunt County,29303,1721204,2690,123296,3432,173862,742,2.532,3.8,948,1163,0.0,150399
WA,Chelan County,29250,2123481,2351,125535,2475,160149,124,0.424,4.5,729,970,0.0,334498
WY,Natrona County,29188,2322572,1913,103305,1781,93644,-132,-0.452,4.6,761,923,0.0,215347
OR,Benton County,29181,2504326,3675,189324,3271,169928,-404,-1.384,3.2,840,1023,9.9,383621
GA,Walton County,29177,1925175,2615,147598,3256,177794,641,2.197,3.6,957,1099,5.75,209855
IN,Floyd County,29159,2406583,2535,137124,2831,146894,296,1.015,3.3,698,873,3.23,183232
OR,Josephine County,29142,1699366,1996,82376,2396,114170,400,1.373,5.5,743,957,9.9,305780
PA,Indiana County,29077,1737124,1476,68347,1220,50129,-256,-0.88,4.9,717,849,3.07,125343
KY,Bullitt County,29076,1833884,2300,108118,2627,125107,327,1.125,4.1,698,873,5.0,176684
WA,Clallam County,28802,1839111,1705,90228,2417,176996,712,2.472,6.4,702,934,0.0,286470
MS,Lee County,28765,2031944,1963,84783,2017,89658,54,0.188,3.9,599,788,5.0,136707
MO,Cole County,28716,2063653,1982,96532,1800,76716,-182,-0.634,2.5,525,683,5.4,170133
HI,Kauai County,28610,2144446,1377,77276,1412,100207,35,0.122,2.5,1270,1573,11.0,610800
NY,Cayuga County,28577,1710778,1448,67590,1308,65910,-140,-0.49,4.5,627,813,8.82,129089
NC,Lincoln County,28565,2088459,2070,125002,2908,216957,838,2.934,3.4,680,781,5.25,185010
MI,Clinton County,28549,2235809,2456,125913,2617,142627,161,0.564,3.2,734,910,4.25,192958
PA,Somerset County,28544,1536874,991,43335,995,45073,4,0.014,5.1,553,697,3.07,114707
ID,Twin Falls County,28464,1526081,2093,92958,2296,111399,203,0.713,2.7,589,778,6.925,178628
VA,Bedford County,28425,2127642,2045,120210,2462,152618,417,1.467,3.1,680,848,5.75,213935
VA,James City County,28366,3120311,2900,195067,3210,257735,310,1.093,2.9,976,1172,5.75,360349
AL,St. Clair County,28340,1776062,2139,108142,2449,130090,310,1.094,3.5,832,955,5.0,155496
IN,Hancock County,28337,2210812,2360,142147,2917,172937,557,1.966,3.0,741,907,3.23,175972
WA,Franklin County,28292,1723313,2637,132505,3094,150281,457,1.615,6.1,742,916,0.0,235602
MO,Christian County,28261,1918834,2819,159229,3361,194223,542,1.918,2.6,630,813,5.4,171735
IA,Story County,28254,2344935,3146,151846,2492,123332,-654,-2.315,1.6,771,930,8.53,208201
SC,Orangeburg County,28098,1276804,1721,66364,1512,56842,-209,-0.744,5.8,552,728,7.0,98876
GA,Glynn County,27954,1951400,2248,113217,2225,163108,-23,-0.082,3.7,619,798,5.75,184528
GA,Rockdale County,27932,1533576,3803,160067,3877,144258,74,0.265,4.4,957,1099,5.75,174561
TX,Angelina County,27921,1549365,1824,81855,1572,69909,-252,-0.903,4.4,743,853,0.0,119976
VA,Augusta County,27907,1740704,1870,83154,2169,102353,299,1.071,2.7,700,912,5.75,216564
KY,Madison County,27678,1668343,2406,106678,2519,116549,113,0.408,3.9,546,726,5.0,168354
NY,Cattaraugus County,27586,1472647,1440,65141,1245,54659,-195,-0.707,5.3,580,718,8.82,94281
TX,Bastrop County,27477,1675113,2414,118449,3139,156229,725,2.639,3.4,1104,1350,0.0,195584
NC,Wilson County,27433,1466500,1605,75464,1674,67198,69,0.252,6.1,721,830,5.25,131944
MO,Cape Girardeau County,27394,1887257,1896,84348,1810,79672,-86,-0.314,2.8,561,744,5.4,170163
AL,Elmore County,27303,1767149,2187,100134,2459,120603,272,0.996,3.4,742,890,5.0,158269
WA,Lewis County,27172,1605862,1792,74936,2399,123830,607,2.234,6.3,654,870,0.0,221282
WI,Portage County,27166,1840699,1694,75882,1636,76016,-58,-0.214,3.0,590,752,7.65,173869
ID,Bannock County,27100,1618652,1880,82792,2029,90515,149,0.55,2.7,573,762,6.925,174426
TX,Orange County,27022,1791638,2235,113878,1804,87181,-431,-1.595,5.7,749,917,0.0,117916
GA,Dougherty County,26932,1236208,2565,97520,1953,69041,-612,-2.272,5.1,630,766,5.75,100916
OR,Polk County,26924,1914624,3053,154119,3222,149562,169,0.628,4.4,699,927,9.9,292846
MT,Lewis and Clark County,26887,1879736,1802,97551,2071,112320,269,1.0,3.3,745,946,6.9,267579
MI,Van Buren County,26871,1557602,2036,88433,1978,101967,-58,-0.216,4.8,710,873,4.25,148536
NC,Caldwell County,26870,1369394,1521,60709,1617,74226,96,0.357,3.8,556,683,5.25,130561
VA,Montgomery County,26748,2006142,3091,152445,2515,133772,-576,-2.153,2.9,819,941,5.75,251623
IL,Vermilion County,26712,1410354,1338,57119,1065,38107,-273,-1.022,6.2,611,796,4.95,76440
NY,Warren County,26650,1872000,1999,102448,1999,103801,0,0.0,4.6,774,970,8.82,201549
AL,Cullman County,26631,1560602,1326,57170,1490,77215,164,0.616,3.3,544,674,5.0,130553
NY,Sullivan County,26581,1614140,1780,96528,1905,100167,125,0.47,4.1,824,997,8.82,189523
TN,Anderson County,26576,1643811,2361,110876,2546,117989,185,0.696,3.8,741,904,0.0,167064
NC,Chatham County,26521,2565638,2051,146152,2801,289014,750,2.828,3.3,903,1056,5.25,305573
MI,Shiawassee County,26326,1439584,1647,70599,1657,71216,10,0.038,4.3,577,767,4.25,143904
WI,Sauk County,26263,1599653,1813,79408,1862,94711,49,0.187,2.6,651,814,7.65,185139
PA,Armstrong County,26172,1456014,1240,52704,1129,49051,-111,-0.424,5.0,593,750,3.07,122374
IN,Morgan County,26081,1727418,2060,103343,2208,110241,148,0.567,3.4,741,907,3.23,179371
SC,Oconee County,26050,1735489,1513,91590,1984,149189,471,1.808,3.3,526,699,7.0,171328
VA,Fauquier County,25932,2778605,2269,190114,2489,204330,220,0.848,2.6,1561,1793,5.75,413966
OH,Ross County,25923,1420423,1332,56640,1326,54199,-6,-0.023,4.6,599,797,4.997,131916
NH,Belknap County,25725,2046114,2076,131642,2226,203653,150,0.583,2.5,880,1139,0.0,236147
TN,Robertson County,25634,1549539,2120,104973,2404,129372,284,1.108,3.1,867,1065,0.0,191602
IL,Adams County,25580,1683865,1088,48162,892,39405,-196,-0.766,3.9,553,727,4.95,130976
VT,Rutland County,25524,1468436,1308,62224,1193,61517,-115,-0.451,3.1,813,979,8.75,185573
KS,Leavenworth County,25383,1826649,3008,186414,3056,192464,48,0.189,3.6,762,928,5.7,195199
TX,Henderson County,25311,1399681,2156,92303,2645,148778,489,1.932,3.7,669,841,0.0,124595
AL,Talladega County,25231,1282108,1638,72932,1661,70022,23,0.091,4.3,497,661,5.0,108918
ND,Ward County,25192,1800962,3445,175262,2555,118472,-890,-3.533,2.9,844,1087,2.9,210321
NY,Madison County,25081,1723072,1781,85074,1666,94848,-115,-0.459,4.8,761,960,8.82,154024
VT,Washington County,25040,1733490,1609,81954,1618,91771,9,0.036,2.6,862,1135,8.75,226951
GA,Barrow County,25014,1474801,2535,123286,3475,179230,940,3.758,3.3,957,1099,5.75,175234
ND,Grand Forks County,24910,1894823,2719,137084,2181,99940,-538,-2.16,2.3,795,1031,2.9,205312
PA,Carbon County,24844,1437098,1535,67008,1737,79594,202,0.813,5.1,877,1115,3.07,162004
OH,Belmont County,24814,1623036,1112,54718,1023,48286,-89,-0.359,5.5,583,713,4.997,120458
OR,Umatilla County,24773,1401640,1520,65197,1527,63221,7,0.028,4.9,603,785,9.9,189188
WV,Harrison County,24761,1622508,1312,68751,1198,57458,-114,-0.46,4.5,655,767,6.5,124315
WI,Chippewa County,24756,1593830,1614,71850,1717,89599,103,0.416,3.3,613,815,7.65,169305
NC,Carteret County,24716,1612572,1900,92755,2224,159574,324,1.311,4.3,726,908,5.25,218837
MN,Crow Wing County,24712,1580842,1638,84283,1794,115102,156,0.631,3.9,636,846,9.85,202610
TN,Putnam County,24611,1502546,2026,83331,2363,132623,337,1.369,3.6,574,702,0.0,174627
MI,Marquette County,24445,1504214,1337,57125,1208,58391,-129,-0.528,4.9,605,804,4.25,167348
MS,Lauderdale County,24404,1433014,1675,83491,1247,54715,-428,-1.754,5.0,605,804,5.0,101264
ME,Aroostook County,24387,1229880,951,47595,861,42588,-90,-0.369,4.8,616,713,7.15,104510
OH,Jefferson County,24258,1354515,1149,46952,1037,41904,-112,-0.462,6.3,581,723,4.997,102791
OK,Wagoner County,24142,1642001,2613,130282,2996,165050,383,1.586,3.3,690,894,5.0,168404
NY,Columbia County,24120,1848313,1505,93368,1451,116061,-54,-0.224,3.3,790,1007,8.82,239813
IN,Wayne County,24099,1224508,1243,56284,1141,45947,-102,-0.423,3.6,578,755,3.23,113827
WV,Raleigh County,24061,1295876,1138,52496,1089,44734,-49,-0.204,5.3,693,796,6.5,104491
NC,Surry County,24058,1337036,1179,48310,1248,52969,69,0.287,3.5,547,694,5.25,134084
VT,Windsor County,24027,1684536,1797,100846,1865,125704,68,0.283,2.3,916,1115,8.75,226011
NM,McKinley County,24005,907011,1826,63557,1305,41820,-521,-2.17,7.1,623,715,4.9,74128
WA,Grays Harbor County,23895,1353427,1514,72616,2041,115040,527,2.205,6.7,598,777,0.0,189191
NM,Valencia County,23866,1194664,1478,64182,1706,71704,228,0.955,5.5,760,938,4.9,136590
OH,Sandusky County,23821,1304074,1396,70836,1258,53638,-138,-0.579,4.5,575,719,4.997,120109
NJ,Salem County,23738,1654117,1453,76133,1428,74434,-25,-0.105,5.4,1047,1266,10.75,208787
PA,Columbia County,23733,1430721,1346,65718,1317,63788,-29,-0.122,4.8,675,838,3.07,158191
TX,Liberty County,23725,1482670,2153,95849,2929,135394,776,3.271,5.8,936,1146,0.0,106766
IL,Williamson County,23724,1452223,1569,72525,1524,69916,-45,-0.19,5.1,556,740,4.95,129341
KY,McCracken County,23646,1632599,1577,80039,1569,73032,-8,-0.034,5.6,585,741,5.0,156442
TN,Greene County,23617,1156509,1105,43295,1395,61845,290,1.228,4.6,471,626,0.0,125963
IN,Boone County,23604,3072365,2267,214687,2489,251281,222,0.941,2.7,741,907,3.23,242963
WI,Columbia County,23564,1724514,1915,101886,2060,108980,145,0.615,2.7,677,901,7.65,195427
OH,Scioto County,23445,1244761,963,38389,877,32768,-86,-0.367,6.8,605,695,4.997,108517
MN,Blue Earth County,23438,1572690,2399,105243,2127,95065,-272,-1.161,2.5,704,883,9.85,199997
MD,Allegany County,23357,1279241,1054,55071,957,42109,-97,-0.415,5.5,606,697,5.75,113677
PA,Bradford County,23324,1384304,1047,48147,941,43246,-106,-0.454,4.4,583,776,3.07,151830
OH,Washington County,23287,1341998,1100,51844,1049,50342,-51,-0.219,5.6,577,737,4.997,119199
IN,Grant County,23225,1170734,1272,53258,1073,40227,-199,-0.857,3.9,575,731,3.23,107056
VA,York County,23166,2135691,3454,215470,3306,206532,-148,-0.639,2.8,976,1172,5.75,340745
MN,Rice County,23165,1721867,1715,91807,1643,88723,-72,-0.311,2.8,708,941,9.85,221137
NE,Hall County,23039,1506138,1664,76806,1417,54894,-247,-1.072,3.2,598,796,6.84,144617
AR,White County,23023,1386324,1681,68805,1569,61758,-112,-0.486,4.4,530,687,6.9,123393
MN,Otter Tail County,22943,1440400,1252,64218,1466,88846,214,0.933,3.6,602,801,9.85,184083
IN,Warrick County,22941,2081618,1741,105982,1874,118067,133,0.58,2.9,637,824,3.23,166798
SC,Georgetown County,22894,1604626,1640,91661,2012,167409,372,1.625,4.5,633,842,7.0,190294
NY,Washington County,22803,1241156,1521,63366,1551,61859,30,0.132,4.1,774,970,8.82,150384
FL,Walton County,22754,2439457,2366,234757,3451,469223,1085,4.768,3.1,845,970,0.0,246743
NY,Herkimer County,22753,1285154,1245,54306,1171,52984,-74,-0.325,4.9,646,840,8.82,103617
NY,Genesee County,22732,1304346,1275,55213,1184,51783,-91,-0.4,4.2,669,813,8.82,119479
OH,Huron County,22722,1256538,1468,59745,1436,55664,-32,-0.141,5.9,566,726,4.997,127515
SC,Greenwood County,22716,1255828,1333,58310,1342,65457,9,0.04,3.6,552,734,7.0,137872
TX,San Patricio County,22691,1356899,2525,122067,2228,108487,-297,-1.309,6.3,846,1069,0.0,126050
AR,Lonoke County,22623,1430803,2176,103437,2316,101804,140,0.619,3.2,719,862,6.9,145262
NY,Livingston County,22556,1455307,1343,60798,1220,57833,-123,-0.545,4.3,788,983,8.82,146002
MS,Forrest County,22508,1355203,2791,102561,2383,96000,-408,-1.813,4.4,684,843,5.0,137041
IL,Whiteside County,22472,1308511,1004,45531,982,40787,-22,-0.098,4.6,609,752,4.95,104413
MI,Barry County,22409,1561133,1668,84905,1805,105736,137,0.611,3.4,671,850,4.25,161183
OH,Marion County,22372,1154374,1107,49237,1147,46951,40,0.179,4.4,607,807,4.997,105404
NC,Wilkes County,22264,1168714,902,38925,930,38543,28,0.126,3.7,547,683,5.25,144892
KS,Butler County,22244,1677009,1791,108648,1867,101193,76,0.342,3.5,645,854,5.7,163168
NC,Haywood County,22190,1192514,1353,61229,1795,100207,442,1.992,3.4,645,764,5.25,194132
MI,St. Joseph County,22114,1220647,1323,57071,1263,58184,-60,-0.271,3.7,580,772,4.25,120136
SC,Kershaw County,22110,1278025,1393,62437,1751,84967,358,1.619,3.5,674,775,7.0,126037
KS,Reno County,22105,1315464,1290,59792,1133,55583,-157,-0.71,3.6,611,813,5.7,99698
FL,Putnam County,22069,985265,1720,65000,1953,82930,233,1.056,4.8,651,748,0.0,93760
OK,Creek County,22048,1519915,2035,89110,1920,99934,-115,-0.522,3.8,690,894,5.0,141560
ME,Hancock County,22033,1380564,1201,72453,1433,89567,232,1.053,3.8,740,907,7.15,214504
AR,Jefferson County,21975,1067500,1476,55257,1060,35826,-416,-1.893,5.3,568,731,6.9,88887
OR,Klamath County,21866,1168096,1581,73347,1853,84387,272,1.244,6.4,605,804,9.9,197217
OK,Payne County,21847,1416647,2652,114496,1989,86263,-663,-3.035,2.9,694,867,5.0,159911
MN,Clay County,21820,1445028,2051,97610,1996,86873,-55,-0.252,2.9,676,852,9.85,176986
CA,Yuba County,21816,1191151,2698,118629,2969,133196,271,1.242,6.4,720,942,12.3,279603
OK,Pottawatomie County,21803,1187180,1654,66849,1749,68997,95,0.436,3.7,620,784,5.0,121569
SC,Darlington County,21792,1095837,1398,56764,1352,56949,-46,-0.211,4.1,649,745,7.0,88109
OH,Knox County,21787,1317016,1277,58851,1320,72010,43,0.197,4.3,595,770,4.997,149090
CA,San Benito County,21706,1732592,1529,109869,1910,142750,381,1.755,5.1,1389,1847,12.3,526295
GA,Jackson County,21694,1424906,2143,112575,3046,176523,903,4.162,3.0,626,821,5.75,198506
OR,Coos County,21669,1256702,1416,69852,1874,89355,458,2.114,5.4,676,831,9.9,195017
GA,Troup County,21622,1169648,1597,72192,1469,64312,-128,-0.592,3.7,637,803,5.75,149226
TX,Harrison County,21578,1306959,1749,84448,1793,88924,44,0.204,4.4,709,818,0.0,152199
MI,Ionia County,21561,1233253,1545,64674,1555,64852,10,0.046,3.4,617,821,4.25,128902
MI,Montcalm County,21559,1073714,1683,83744,1741,77281,58,0.269,4.2,619,789,4.25,109117
WA,Mason County,21507,1369055,1813,94154,2448,144936,635,2.953,6.3,738,981,0.0,231122
TN,Cumberland County,21460,1118663,1285,55725,1857,112323,572,2.665,4.4,526,700,0.0,153289
NY,Otsego County,21378,1282330,1423,70069,1378,70802,-45,-0.21,4.3,695,878,8.82,151511
MD,Worcester County,21316,1571637,1649,88364,1927,134082,278,1.304,8.0,809,1076,5.75,265862
TX,Wise County,21307,1497342,1829,105513,2433,160097,604,2.835,3.4,788,1031,0.0,176141
CO,Eagle County,21207,2384750,2283,154653,2161,257636,-122,-0.575,2.7,1241,1555,4.63,526150
FL,Columbia County,21202,1066727,1623,63483,1944,79545,321,1.514,3.7,703,826,0.0,157530
OH,Seneca County,21176,1121024,1210,48681,1128,42886,-82,-0.387,4.4,542,721,4.997,105833
AL,DeKalb County,21078,1018194,1199,47723,1139,42618,-60,-0.285,3.8,456,606,5.0,120844
NM,Lea County,20946,1333248,1221,66929,1332,59162,111,0.53,4.1,725,903,4.9,152254
SD,Lincoln County,20899,2430125,2419,172261,3140,212390,721,3.45,2.3,681,833,0.0,226497
PA,Pike County,20866,1412351,1693,105559,1842,135397,149,0.714,5.4,991,1318,3.07,194217
MN,Chisago County,20863,1643790,1630,92023,1933,111675,303,1.452,3.4,923,1164,9.85,225329
NC,Franklin County,20816,1190082,1728,84668,2442,128762,714,3.43,4.0,954,1095,5.25,170876
KY,Christian County,20792,1066215,3671,129429,3463,115877,-208,-1.0,5.2,696,884,5.0,136786
MS,Jones County,20777,1114408,1125,40828,1110,42570,-15,-0.072,4.8,629,803,5.0,89691
NC,Stanly County,20761,1191101,1030,43712,1336,61654,306,1.474,3.6,565,724,5.25,142324
SC,Laurens County,20747,1003070,1438,55748,1573,64663,135,0.651,3.6,580,771,7.0,95777
NC,Rutherford County,20741,1031444,1034,43251,1268,65185,234,1.128,5.1,549,683,5.25,133228
KY,Oldham County,20738,2594029,1777,173802,1889,181105,112,0.54,3.3,698,873,5.0,308928
