State,County,Returns Total,Total AGI,Outflow,Outflow AGI,Inflow,Inflow AGI,Net Inflow(Outflow),Flow(%),Unemployment Rate(%),1 Bed Average,2 Bed Average,Highest Marginal Income Tax Rate (%),Median Home Price 2017
OH,Monroe County,5071,350981,229,10368,183,9661,-46,-0.907,7.8,592,695,4.997,"$104,545 "
MA,Plymouth County,204025,21041244,11602,1006256,12253,994861,651,0.319,3.5,1546,1894,5.05,"$396,341 "
SD,Miner County,864,47898,30,1696,36,1480,6,0.694,2.8,496,660,0.0,"$85,620 "
CT,New London County,107353,8825677,6941,453399,6076,366859,-865,-0.806,4.0,992,1271,6.99,"$242,504 "
TX,Panola County,7634,475473,478,22943,523,24339,45,0.589,4.2,557,741,0.0,"$104,402 "
CT,Fairfield County,357116,69375082,21235,3017316,17929,2869252,-3306,-0.926,4.0,1087,1369,6.99,"$435,477 "
MS,Lowndes County,19140,1079813,1467,75192,1345,61301,-122,-0.637,4.8,612,779,5.0,"$127,510 "
NC,Hoke County,14378,675818,2287,101557,2567,103372,280,1.947,5.0,571,760,5.25,"$138,553 "
IN,Randolph County,9269,433071,597,20168,485,16995,-112,-1.208,3.9,577,697,3.23,"$85,451 "
KS,Saline County,20672,1308064,1326,58895,1257,49849,-69,-0.334,3.1,618,812,5.7,"$129,421 "
ME,Aroostook County,24387,1229880,951,47595,861,42588,-90,-0.369,4.8,616,713,7.15,"$104,510 "
OH,Shelby County,18840,1179627,1012,50145,928,43453,-84,-0.446,3.8,617,763,4.997,"$147,909 "
AR,Franklin County,5141,276520,423,14324,393,15118,-30,-0.584,3.6,493,656,6.9,"$96,926 "
NH,Belknap County,25725,2046114,2076,131642,2226,203653,150,0.583,2.5,880,1139,0.0,"$236,147 "
SD,Pennington County,42842,3003982,4569,234955,4607,265671,38,0.089,3.1,719,956,0.0,"$204,049 "
TX,Crosby County,1788,83243,167,6708,133,5668,-34,-1.902,4.5,733,896,0.0,"$60,734 "
TX,Franklin County,3256,177753,306,10037,350,16510,44,1.351,4.1,576,726,0.0,"$139,955 "
MA,Essex County,313172,31622947,17101,1307782,15962,1260065,-1139,-0.364,3.4,1546,1894,5.05,"$436,610 "
OR,Benton County,29181,2504326,3675,189324,3271,169928,-404,-1.384,3.2,840,1023,9.9,"$383,621 "
WA,Franklin County,28292,1723313,2637,132505,3094,150281,457,1.615,6.1,742,916,0.0,"$235,602 "
IA,Marion County,11891,925276,726,38122,735,39768,9,0.076,2.0,578,769,8.53,"$155,151 "
OR,Malheur County,8235,383662,616,24091,659,23240,43,0.522,4.6,550,715,9.9,"$140,461 "
MA,Plymouth County,204025,21041244,11602,1006256,12253,994861,651,0.319,3.5,1138,1460,5.05,"$396,341 "
MT,Sheridan County,1502,85262,88,4061,72,2798,-16,-1.065,2.4,630,723,6.9,"$160,526 "
RI,Providence County,245590,15855719,13462,883628,12268,687730,-1194,-0.486,4.4,910,1087,5.99,"$250,303 "
MS,Marshall County,11508,495605,921,35213,889,35102,-32,-0.278,5.0,633,743,5.0,"$101,817 "
NC,Onslow County,54993,2720364,11873,493754,11183,472510,-690,-1.255,4.7,727,910,5.25,"$160,548 "
ME,Aroostook County,24387,1229880,951,47595,861,42588,-90,-0.369,4.8,616,713,7.15,"$104,510 "
MI,Emmet County,13686,1027354,989,71593,1053,97656,64,0.468,5.9,693,901,4.25,"$184,850 "
KY,Floyd County,9901,472130,604,22100,488,18247,-116,-1.172,6.6,545,641,5.0,"$76,850 "
NH,Sullivan County,17082,1244456,1176,60448,1280,90884,104,0.609,2.1,808,1075,0.0,"$183,325 "
VA,Smyth County,9994,467180,477,16561,407,13958,-70,-0.7,4.0,551,684,5.75,"$91,659 "
GA,Bryan County,11921,916911,1832,109897,2174,130675,342,2.869,3.4,992,1139,5.75,"$216,891 "
MT,Fergus County,4329,241687,288,11971,258,13252,-30,-0.693,3.7,653,847,6.9,"$146,500 "
MD,Baltimore County,315424,28755994,24263,1548545,23007,1269972,-1256,-0.398,4.0,1125,1411,5.75,"$270,641 "
NJ,Passaic County,195065,13456805,12342,820874,10214,621325,-2128,-1.091,5.1,1439,1691,10.75,"$353,805 "
MA,Bristol County,219100,16411869,10412,677989,10780,634517,368,0.168,4.3,910,1087,5.05,"$327,444 "
IA,Monroe County,2692,147405,140,5087,171,7694,31,1.152,2.9,520,692,8.53,"$104,666 "
UT,Wayne County,825,43607,47,2083,74,4084,27,3.273,6.0,607,697,4.95,"$192,700 "
ME,Washington County,11220,507701,510,20773,625,34978,115,1.025,4.9,657,809,7.15,"$113,822 "
TX,Knox County,1105,47713,80,3095,72,3093,-8,-0.724,3.6,553,697,0.0,"$47,690 "
MA,Hampden County,177563,12132779,7531,410815,6369,310142,-1162,-0.654,4.6,934,1180,5.05,"$223,466 "
ID,Minidoka County,6754,331649,496,25900,516,21404,20,0.296,2.5,607,697,6.925,"$134,053 "
MI,Oscoda County,2807,123042,208,6632,233,11444,25,0.891,6.4,571,759,4.25,"$90,102 "
TX,Yoakum County,2699,195927,204,11190,154,7012,-50,-1.853,2.8,607,697,0.0,"$87,968 "
MO,Monroe County,3061,149896,212,8282,233,8045,21,0.686,3.6,490,652,5.4,"$108,346 "
KS,Woodson County,1156,49714,56,1963,48,1651,-8,-0.692,4.3,524,697,5.7,"$54,906 "
WY,Teton County,10727,3408826,1218,109912,1188,212532,-30,-0.28,3.0,1115,1281,0.0,"$772,365 "
TX,Mitchell County,2133,119487,169,7115,143,6830,-26,-1.219,4.4,541,719,0.0,"$70,568 "
ID,Clearwater County,2738,146211,183,8157,228,9711,45,1.644,6.7,581,773,6.925,"$147,921 "
ME,Knox County,16269,1061882,968,48161,1002,73722,34,0.209,3.2,754,955,7.15,"$206,536 "
MA,Norfolk County,271058,45304006,23391,2374621,22934,2317114,-457,-0.169,3.0,1546,1894,5.05,"$509,719 "
VT,Essex County,2279,101084,177,5280,186,7537,9,0.395,3.6,645,823,8.75,"$134,687 "
MA,Norfolk County,271058,45304006,23391,2374621,22934,2317114,-457,-0.169,3.0,1546,1894,5.05,"$509,719 "
VT,Windsor County,24027,1684536,1797,100846,1865,125704,68,0.283,2.3,916,1115,8.75,"$226,011 "
ND,McIntosh County,1081,48215,38,1781,29,1195,-9,-0.833,2.7,591,697,2.9,"$73,602 "
ID,Custer County,1504,73017,118,5268,155,9675,37,2.46,4.0,589,735,6.925,"$190,734 "
CT,New London County,107353,8825677,6941,453399,6076,366859,-865,-0.806,4.0,992,1271,6.99,"$242,504 "
KS,Cheyenne County,977,40659,25,1433,44,1774,19,1.945,2.4,607,697,5.7,"$89,377 "
SD,Fall River County,2618,139073,213,8588,291,12259,78,2.979,3.9,611,745,0.0,"$121,851 "
AL,Lowndes County,3688,153827,291,10278,254,9619,-37,-1.003,7.3,742,890,5.0,"$62,908 "
ME,Washington County,11220,507701,510,20773,625,34978,115,1.025,4.9,657,809,7.15,"$113,822 "
ME,Washington County,11220,507701,510,20773,625,34978,115,1.025,4.9,657,809,7.15,"$113,822 "
VT,Washington County,25040,1733490,1609,81954,1618,91771,9,0.036,2.6,862,1135,8.75,"$226,951 "
AR,Sharp County,4809,200533,473,15579,530,18910,57,1.185,4.8,477,635,6.9,"$83,269 "
IA,Allamakee County,5441,279816,260,10711,239,10537,-21,-0.386,3.1,490,650,8.53,"$129,697 "
ME,Penobscot County,54471,3239598,3068,148356,3002,139529,-66,-0.121,3.8,668,870,7.15,"$143,831 "
TN,Blount County,47263,3090535,3030,156466,3802,240454,772,1.633,3.2,741,904,0.0,"$188,916 "
MO,Texas County,7302,295279,536,18238,559,21763,23,0.315,4.1,482,641,5.4,"$111,183 "
ME,Hancock County,22033,1380564,1201,72453,1433,89567,232,1.053,3.8,740,907,7.15,"$214,504 "
ME,Aroostook County,24387,1229880,951,47595,861,42588,-90,-0.369,4.8,616,713,7.15,"$104,510 "
VT,Windsor County,24027,1684536,1797,100846,1865,125704,68,0.283,2.3,916,1115,8.75,"$226,011 "
IL,Grundy County,19294,1536201,1564,102107,1660,86465,96,0.498,4.7,844,1122,4.95,"$198,142 "
OK,Pushmataha County,3123,138530,195,7085,274,10383,79,2.53,5.2,524,697,5.0,"$75,048 "
VT,Rutland County,25524,1468436,1308,62224,1193,61517,-115,-0.451,3.1,813,979,8.75,"$185,573 "
SD,Douglas County,1088,51904,54,2272,48,1618,-6,-0.551,2.7,589,783,0.0,"$84,367 "
ID,Idaho County,5065,249783,365,14320,391,22230,26,0.513,4.7,545,697,6.925,"$181,159 "
ME,Aroostook County,24387,1229880,951,47595,861,42588,-90,-0.369,4.8,616,713,7.15,"$104,510 "
PA,Dauphin County,110984,7566955,7664,390181,7261,344235,-403,-0.363,4.0,892,1107,3.07,"$181,122 "
IL,Marion County,14110,750891,759,32708,642,28912,-117,-0.829,4.9,547,727,4.95,"$73,457 "
