,State,County,Returns Total,Total AGI,Outflow,Outflow AGI,Inflow,Inflow AGI,Net Inflow(Outflow),Percentage Flow
2706,TX,Lipscomb County ,1068,70695,68,2778,53,1833,-15,-1.4040000000000001
2023,IL,Rock Island County ,55661,3434071,3348,194678,3088,145826,-260,-0.467
202,WA,Skamania County ,3841,315123,338,19096,424,31797,86,2.239
1495,NE,McPherson County ,166,7622,-1,-1,-1,-1,0,0.0
1499,KS,Russell County ,2549,120326,144,5440,144,4981,0,0.0
1643,VA,Campbell County ,19471,1165334,1721,67907,1698,69489,-23,-0.11800000000000001
1084,NY,Saratoga County ,92707,10060047,6895,655521,7266,780689,371,0.4
2715,VA,Tazewell County ,12445,681909,688,30489,510,22646,-178,-1.43
486,OR,Douglas County ,36511,1975864,2117,98973,2578,114980,461,1.263
2547,AR,Pulaski County ,136703,10618022,10704,564337,9236,430216,-1468,-1.074
1117,KS,Kingman County ,2736,148599,181,16685,191,8596,10,0.365
1775,AL,Escambia County ,11071,539007,661,25911,634,24381,-27,-0.244
2679,TX,Karnes County ,4312,438073,330,15935,272,12567,-58,-1.345
971,NC,Alleghany County ,3690,199759,185,9808,205,10505,20,0.542
1289,KY,Butler County ,4001,193669,216,7770,224,7511,8,0.2
1875,MO,St. Louis County ,387097,40987838,26482,1840109,25165,1582118,-1317,-0.34
2831,MI,Isabella County ,20140,1214536,2010,81350,1638,65219,-372,-1.847
1231,WI,Washburn County ,6647,401859,479,26225,496,30558,17,0.256
1164,MA,Plymouth County ,204025,21041244,11602,1006256,12253,994861,651,0.319
2965,TX,Hemphill County ,1242,94991,89,4733,48,2410,-41,-3.301
431,AZ,Maricopa County ,1471961,117024435,67741,4328950,88231,6573244,20490,1.392
1444,NC,Swain County ,6256,289141,392,13879,395,19431,3,0.048
2118,IL,Winnebago County ,107505,6754568,5678,330770,5067,223559,-611,-0.568
1162,WI,Monroe County ,17112,963042,1195,58761,1250,57030,55,0.321
2507,KY,Christian County ,20792,1066215,3671,129429,3463,115877,-208,-1.0
1304,SC,Pickens County ,37944,2403659,3210,154765,3281,213195,71,0.187
1009,TX,Gaines County ,5837,357624,360,20743,389,19482,29,0.49700000000000005
2996,TX,Terrell County ,259,13742,21,1616,-1,-1,-22,-8.494
1955,GA,Lanier County ,2414,102890,339,10567,329,10395,-10,-0.414
634,SD,Tripp County ,2081,102327,68,3318,89,2990,21,1.0090000000000001
2871,WV,Cabell County ,30518,1880712,2488,118067,1839,72949,-649,-2.127
1841,NE,Nance County ,1276,55869,70,2844,66,2617,-4,-0.313
2233,MO,Washington County ,6862,294048,505,17126,460,16920,-45,-0.6559999999999999
216,TX,Winkler County ,2285,295701,208,14632,257,11938,49,2.144
631,NM,Eddy County ,18166,1523348,1254,80993,1438,84245,184,1.013
768,TX,McCulloch County ,2719,140137,188,8121,209,9485,21,0.772
43,TX,Hood County ,19870,1603958,1845,111358,2599,202335,754,3.795
35,WA,San Juan County ,7114,840706,424,34588,711,88649,287,4.034
1804,MI,Bay County ,42673,2405444,2153,94916,2035,87201,-118,-0.27699999999999997
791,OR,Lane County ,133608,9198152,8128,385498,9119,462384,991,0.742
1490,NE,Sioux County ,401,15764,-1,-1,-1,-1,0,0.0
1807,PA,Lawrence County ,33423,1919279,1453,63397,1360,62218,-93,-0.278
1338,IA,Cass County ,5091,284558,270,11191,278,12131,8,0.157
