State,County,Returns Total,Total AGI,Outflow,Outflow AGI,Inflow,Inflow AGI,Net Inflow(Outflow),Percentage Flow
TX,Rockwall County,31246,3703952,3566,264880,4519,376133,953,3.05
KY,Bracken County,2894,147754,127,4276,215,8072,88,3.041
CO,Custer County,1648,105742,195,8278,245,19105,50,3.034
WA,Jefferson County,13277,986808,943,55466,1345,98602,402,3.028
GA,Paulding County,49626,3264173,5260,269783,6759,337299,1499,3.021
FL,Flagler County,40791,2667645,3468,165139,4698,353956,1230,3.015
FL,Gilchrist County,5010,262981,460,16637,611,25273,151,3.014
VA,Louisa County,12921,866165,983,58237,1372,87020,389,3.011
AL,Baldwin County,73765,5421048,4609,238893,6818,491043,2209,2.995
UT,Wasatch County,9536,929037,1014,64681,1299,149296,285,2.989
GA,Butts County,6975,398817,595,25455,803,37249,208,2.982
SD,Fall River County,2618,139073,213,8588,291,12259,78,2.979
FL,Wakulla County,10191,590440,738,34833,1041,49495,303,2.973
WA,Mason County,21507,1369055,1813,94154,2448,144936,635,2.953
TX,Reeves County,3713,300243,271,29745,380,18365,109,2.936
NC,Lincoln County,28565,2088459,2070,125002,2908,216957,838,2.934
TX,Montgomery County,181177,19602627,15896,1295890,21194,1792445,5298,2.924
MT,Sweet Grass County,1339,79369,61,3180,100,4629,39,2.913
GA,Bryan County,11921,916911,1832,109897,2174,130675,342,2.869
TX,Wise County,21307,1497342,1829,105513,2433,160097,604,2.835
NC,Chatham County,26521,2565638,2051,146152,2801,289014,750,2.828
SC,York County,91602,7200880,6320,378879,8907,658227,2587,2.824
TX,Wood County,14368,862826,1177,55656,1582,84373,405,2.819
TX,Waller County,14338,1002214,1624,87181,2028,144646,404,2.818
GA,Forsyth County,72597,8778654,6638,637957,8683,795579,2045,2.817
CO,Weld County,100674,7811951,8860,520398,11695,729652,2835,2.816
SD,Clark County,1353,77377,53,2709,91,4706,38,2.809
TN,Montgomery County,63354,3491904,8890,389305,10659,448801,1769,2.792
TN,Marshall County,11524,630949,779,34410,1098,52821,319,2.768
TX,Irion County,542,58903,41,1968,56,2693,15,2.768
OR,Lincoln County,17247,997450,1571,78133,2046,112013,475,2.754
FL,Polk County,229155,12424728,16582,708094,22888,1049764,6306,2.752
CO,Bent County,1201,52524,70,2161,103,3635,33,2.748
TN,Maury County,33569,2042068,2941,149879,3860,221548,919,2.738
WA,Wahkiakum County,1474,88968,98,4293,138,7042,40,2.714
OR,Curry County,8267,451318,709,40423,932,50851,223,2.697
FL,Marion County,125217,6481680,8384,355566,11747,599119,3363,2.686
NC,Harnett County,37386,2048732,4916,231513,5920,275460,1004,2.685
FL,Indian River County,59008,6043223,4170,254578,5750,707436,1580,2.678
TN,Cumberland County,21460,1118663,1285,55725,1857,112323,572,2.665
OK,Canadian County,46456,3571507,4260,246357,5495,310300,1235,2.658
CO,Douglas County,115898,16401047,12989,1438525,16067,1541931,3078,2.656
FL,Franklin County,3426,219195,209,16997,300,21491,91,2.656
GA,Pickens County,11270,765698,903,51304,1202,97985,299,2.653
TX,Bastrop County,27477,1675113,2414,118449,3139,156229,725,2.639
ID,Oneida County,1403,70808,91,3030,128,6233,37,2.637
FL,Washington County,6943,326528,650,22441,833,33024,183,2.636
TX,Hudspeth County,1561,69513,194,8958,235,9444,41,2.627
GA,Gilmer County,9589,522005,701,33098,952,53248,251,2.618
SC,McCormick County,3095,175602,205,10988,286,19527,81,2.617
TN,Wilson County,49158,3984963,4210,252522,5494,360420,1284,2.612
ID,Bonner County,15824,996399,1231,64085,1642,112893,411,2.597
FL,St. Lucie County,111202,6173509,8916,413174,11797,704139,2881,2.591
GA,Cherokee County,83406,7289210,7334,465692,9493,664321,2159,2.589
FL,Manatee County,137026,10802578,11227,638817,14773,1252276,3546,2.588
CO,Baca County,1205,39482,32,574,63,2354,31,2.573
