State,County,Returns Total,Total AGI,Outflow,Outflow AGI,Inflow,Inflow AGI,Net Inflow(Outflow),Percentage Flow
PA,Carbon County,24844,1437098,1535,67008,1737,79594,202,0.813
GA,Gordon County,17401,1024588,1073,41253,1214,45496,141,0.81
AR,Jackson County,4328,205318,291,10427,326,10000,35,0.809
KY,Spencer County,6435,470434,584,35499,636,40278,52,0.808
CA,Inyo County,6580,459082,483,28213,536,26817,53,0.805
VA,Chesterfield County,126776,10815605,10288,638786,11302,685686,1014,0.8
MO,Ralls County,3634,220110,255,11059,284,13054,29,0.798
GA,Meriwether County,6643,309479,539,20856,592,24956,53,0.798
MN,Washington County,98540,11025279,8336,641259,9116,652298,780,0.792
AR,Searcy County,2282,78218,133,3396,151,6334,18,0.789
VA,Greene County,7118,470463,581,29249,637,36966,56,0.787
SD,Jones County,381,18013,20,682,23,773,3,0.787
CO,Larimer County,127102,11184048,12284,682153,13283,846664,999,0.786
AZ,Cochise County,40799,2209184,3694,194275,4014,195135,320,0.784
FL,Union County,3444,170823,331,12136,358,12655,27,0.784
MS,Lamar County,17752,1303142,2117,104460,2256,98316,139,0.783
AL,Morgan County,40420,2508187,2215,96718,2531,111968,316,0.782
ID,Franklin County,4231,230370,267,11303,300,15226,33,0.78
AR,Little River County,3847,189179,240,9330,270,10176,30,0.78
WA,Benton County,68388,5414669,5338,331343,5870,324704,532,0.778
OH,Licking County,65203,4386710,4128,219317,4634,253824,506,0.776
NC,Greene County,5799,271333,400,13537,445,13864,45,0.776
CO,Alamosa County,5030,269409,484,20684,523,21542,39,0.775
TX,McCulloch County,2719,140137,188,8121,209,9485,21,0.772
TX,Live Oak County,3532,235586,265,14984,292,13533,27,0.764
TX,Brazoria County,114621,9458165,10000,644383,10875,671446,875,0.763
TN,Claiborne County,9694,458725,569,23805,643,22687,74,0.763
NC,Beaufort County,16018,886734,935,40788,1057,61236,122,0.762
MS,George County,6846,396714,400,17954,452,19713,52,0.76
VA,Albemarle County,37574,4865173,4223,322856,4508,417727,285,0.759
MO,St. Francois County,20211,1064217,1274,46079,1427,54702,153,0.757
NE,Fillmore County,2256,147708,88,3742,105,4458,17,0.754
IA,Fremont County,2528,155351,157,6639,176,7470,19,0.752
MI,Iron County,4527,216827,198,8795,232,10673,34,0.751
SD,Minnehaha County,75524,5945477,6049,325117,6616,379767,567,0.751
WY,Park County,11611,942744,917,49507,1004,65083,87,0.749
IA,Iowa County,6407,425625,364,17052,412,19900,48,0.749
PA,Perry County,18446,1087584,947,46436,1085,50818,138,0.748
GA,Pike County,5746,391483,503,23863,546,28299,43,0.748
TX,San Jacinto County,7762,437879,841,38880,899,48439,58,0.747
ID,Bear Lake County,2011,107171,119,6313,134,6926,15,0.746
MN,Le Sueur County,10992,777339,874,50980,956,56390,82,0.746
GA,Catoosa County,20256,1200312,1932,82944,2083,89570,151,0.745
NC,Caswell County,7252,354399,465,17775,519,19333,54,0.745
CA,Tuolumne County,19362,1285160,1228,66550,1372,89474,144,0.744
WA,Kittitas County,14140,1003595,1532,69628,1637,112139,105,0.743
OR,Lane County,133608,9198152,8128,385498,9119,462384,991,0.742
KY,Hancock County,2972,173163,166,8363,188,7828,22,0.74
AR,Independence County,11436,633574,691,29260,775,31795,84,0.735
AR,Conway County,6395,362676,421,17130,468,19374,47,0.735
TX,Galveston County,111504,9271001,9342,601414,10160,722019,818,0.734
OK,Murray County,4360,248522,302,18109,334,13484,32,0.734
OR,Clackamas County,151190,15315364,13830,975799,14936,1068186,1106,0.732
TN,Trousdale County,2869,146630,284,10821,305,13203,21,0.732
OH,Lorain County,119541,7990728,5757,339957,6630,390803,873,0.73
VA,King George County,8788,757380,1029,57209,1093,62557,64,0.728
IL,Putnam County,2346,161095,145,6391,162,7221,17,0.725
NE,Cass County,9825,758723,809,43066,880,52514,71,0.723
MS,Jackson County,46533,2811640,3435,154034,3771,174613,336,0.722
NM,Colfax County,4167,215435,315,12749,345,19155,30,0.72
MI,Cheboygan County,10017,564414,693,32862,765,50543,72,0.719
ME,Somerset County,17527,872431,1174,54012,1300,54618,126,0.719
NH,Merrimack County,59085,4896308,4614,382389,5038,310543,424,0.718
MI,Wexford County,11997,599648,936,37613,1022,41370,86,0.717
MI,Keweenaw County,838,46830,48,1810,54,2934,6,0.716
TX,Coryell County,19029,952038,3700,141470,3836,147831,136,0.715
VA,Appomattox County,5591,307724,345,14219,385,16535,40,0.715
AR,Van Buren County,4905,232047,361,14315,396,19359,35,0.714
PA,Pike County,20866,1412351,1693,105559,1842,135397,149,0.714
ID,Twin Falls County,28464,1526081,2093,92958,2296,111399,203,0.713
TX,Lamar County,16471,888008,926,37281,1043,47176,117,0.71
IL,Macoupin County,16863,993915,936,36329,1055,50634,119,0.706
CA,Siskiyou County,15015,790779,963,34321,1069,54925,106,0.706
VA,Isle of Wight County,13612,1065565,1247,72982,1343,94258,96,0.705
MO,Dallas County,5114,219918,446,16680,482,17236,36,0.704
GA,Douglas County,44581,2624737,5832,259275,6146,246640,314,0.704
PA,Cumberland County,100036,8102192,6568,416279,7272,422643,704,0.704
AL,Henry County,5423,369684,403,15874,441,18723,38,0.701
MN,Traverse County,1285,74195,66,3499,75,2780,9,0.7
GA,Clayton County,88128,3351095,13018,416528,13634,400093,616,0.699
NM,Lincoln County,6869,355920,590,28527,638,41803,48,0.699
MI,Newaygo County,16906,918224,1255,50016,1373,66265,118,0.698
MI,Leelanau County,9178,817581,778,45447,842,108240,64,0.697
MI,Luce County,2008,98538,86,3532,100,4685,14,0.697
TN,Anderson County,26576,1643811,2361,110876,2546,117989,185,0.696
TX,San Saba County,1868,96207,112,4640,125,6532,13,0.696
AL,Shelby County,71240,6883125,6059,421656,6554,419442,495,0.695
SD,Miner County,864,47898,30,1696,36,1480,6,0.694
WI,Lincoln County,11550,659114,618,30590,698,33269,80,0.693
NC,Davie County,15019,1171960,1029,63571,1133,70038,104,0.692
TN,Henderson County,9136,451933,510,17509,573,21262,63,0.69
GA,Dade County,4643,252501,359,17201,391,17362,32,0.689
KY,Larue County,4798,236835,371,13585,404,14669,33,0.688
MO,Monroe County,3061,149896,212,8282,233,8045,21,0.686
NC,Rockingham County,31670,1659816,1578,66782,1795,78803,217,0.685
OH,Clermont County,76483,5785670,5321,335391,5843,327854,522,0.683
SC,Cherokee County,17862,884022,1013,36954,1135,43235,122,0.683
AR,Greene County,13329,746478,923,40080,1014,35199,91,0.683
KY,Hardin County,37070,2239849,3474,169880,3727,171213,253,0.682
VA,Amelia County,4836,286419,318,13375,351,16736,33,0.682
IL,Scott County,1907,113752,95,3316,108,3717,13,0.682
NE,Hamilton County,3538,274230,230,11803,254,15817,24,0.678
TN,Wayne County,4579,211430,222,6809,253,11177,31,0.677
SD,McCook County,2070,135214,121,5390,135,6411,14,0.676
WI,Buffalo County,5344,281988,283,12005,319,13067,36,0.674
KY,Anderson County,8306,494447,612,27138,668,29350,56,0.674
MI,Cass County,18169,1253271,1419,72838,1541,96225,122,0.671
AL,Geneva County,7763,365052,535,22327,587,24270,52,0.67
TN,Knox County,162444,13197680,11333,672111,12420,718271,1087,0.669
MS,Stone County,5082,254175,387,16948,421,17835,34,0.669
TX,Hardin County,18251,1310559,1461,91692,1583,115626,122,0.668
TX,Martin County,1647,191313,142,12287,153,8563,11,0.668
NE,Howard County,2400,124888,128,5180,144,7391,16,0.667
VA,Grayson County,4956,220241,302,11301,335,11586,33,0.666
KS,Washington County,2252,116166,80,3404,95,3444,15,0.666
TN,Scott County,6329,281831,189,6033,231,9461,42,0.664
TX,Goliad County,2411,161066,176,9733,192,11355,16,0.664
KY,Garrard County,5287,280226,484,21125,519,23616,35,0.662
KY,Trigg County,4697,233654,314,14514,345,19969,31,0.66
TX,Shackelford County,1060,77663,96,3880,103,4643,7,0.66
MA,Barnstable County,100287,8471195,5535,452658,6196,719738,661,0.659
PA,Butler County,74803,6506711,3943,286863,4435,347128,492,0.658
AR,Crawford County,18410,979041,1445,53766,1566,61020,121,0.657
WI,Green Lake County,7492,426776,520,23420,569,30692,49,0.654
TX,Collingsworth County,922,45022,45,1978,51,2073,6,0.651
SC,Laurens County,20747,1003070,1438,55748,1573,64663,135,0.651
OK,Coal County,1541,76390,112,4555,122,4500,10,0.649
TX,Delta County,1543,76213,146,5886,156,6883,10,0.648
FL,Holmes County,5118,228295,428,15004,461,19636,33,0.645
IL,Menard County,4803,348553,329,15717,360,17749,31,0.645
GA,Monroe County,8688,675384,774,39207,830,52043,56,0.645
MO,Mercer County,1242,47502,41,2064,49,2175,8,0.644
AL,Chilton County,13372,713099,782,31426,868,37423,86,0.643
ID,Owyhee County,3427,137312,383,13935,405,19528,22,0.642
ID,Elmore County,8573,400112,1253,59301,1308,53719,55,0.642
KY,Bath County,3585,159146,239,8102,262,9598,23,0.642
KY,Marshall County,11055,682537,671,27348,742,33788,71,0.642
NE,Valley County,1562,60263,70,2982,80,2083,10,0.64
WI,Rusk County,5309,254064,305,11472,339,15202,34,0.64
MI,Grand Traverse County,37887,2901462,2763,148289,3005,206260,242,0.639
CA,San Joaquin County,244304,16385896,13440,768131,15000,895331,1560,0.639
WA,Snohomish County,297851,26359026,22054,1544592,23954,1736697,1900,0.638
MO,Webster County,11765,631691,981,38429,1056,45236,75,0.637
GA,Camden County,16179,925321,2163,98699,2266,105267,103,0.637
TN,Hawkins County,18399,918830,1253,47805,1370,58596,117,0.636
TN,Carroll County,8995,440084,622,22200,679,27246,57,0.634
VA,Mecklenburg County,10747,544911,622,30807,690,37524,68,0.633
MO,Taney County,18346,826502,1862,65510,1978,92762,116,0.632
OH,Logan County,17869,1035313,1039,44945,1152,56278,113,0.632
MN,Scott County,52792,5670994,4615,346920,4948,354915,333,0.631
MN,Crow Wing County,24712,1580842,1638,84283,1794,115102,156,0.631
WI,Pepin County,2860,186643,185,8375,203,9231,18,0.629
OR,Polk County,26924,1914624,3053,154119,3222,149562,169,0.628
IL,Monroe County,13711,1230324,734,58124,820,61008,86,0.627
WA,Walla Walla County,20276,1382349,1367,68826,1493,88856,126,0.621
MI,Presque Isle County,5160,264303,269,10829,301,15804,32,0.62
TX,Smith County,76284,5557527,5513,284065,5985,330219,472,0.619
AR,Lonoke County,22623,1430803,2176,103437,2316,101804,140,0.619
MN,Pine County,10020,546187,728,30971,790,39059,62,0.619
IN,Clay County,9384,511923,646,25509,704,29296,58,0.618
AR,Grant County,5670,372460,395,16115,430,18874,35,0.617
UT,Millard County,3888,218373,205,10934,229,10134,24,0.617
MO,Pulaski County,12645,637122,2492,124108,2570,117851,78,0.617
WI,Jackson County,7464,413601,460,20279,506,22773,46,0.616
AL,Cullman County,26631,1560602,1326,57170,1490,77215,164,0.616
MI,Charlevoix County,10570,750679,767,45128,832,74289,65,0.615
WI,Columbia County,23564,1724514,1915,101886,2060,108980,145,0.615
TN,Grundy County,4408,186862,248,9762,275,13414,27,0.613
NE,Saunders County,7843,602478,595,31876,643,44666,48,0.612
KS,Johnson County,223074,25929982,16761,1299257,18127,1191520,1366,0.612
MI,Barry County,22409,1561133,1668,84905,1805,105736,137,0.611
NH,Sullivan County,17082,1244456,1176,60448,1280,90884,104,0.609
NJ,Ocean County,226861,16957981,11215,774957,12595,954469,1380,0.608
MD,Cecil County,36332,2621910,2494,149379,2713,141380,219,0.603
OK,Grady County,16263,1167816,1375,64779,1473,80317,98,0.603
AR,Washington County,73592,5305239,6325,332130,6769,377014,444,0.603
FL,Duval County,344842,22418910,26620,1543259,28682,1636159,2062,0.598
ME,Cumberland County,121235,10726185,8137,527263,8861,629612,724,0.597
OK,Pawnee County,4690,255202,418,16357,446,18469,28,0.597
TX,Madison County,3869,222741,270,11311,293,13064,23,0.594
CO,Kit Carson County,2541,100401,178,7257,193,9878,15,0.59
IN,Clark County,43898,2658733,3443,167010,3702,173444,259,0.59
TX,Panola County,7634,475473,478,22943,523,24339,45,0.589
NH,Strafford County,48732,3658635,4053,249947,4340,270876,287,0.589
TX,Rusk County,15686,936189,1234,52676,1326,66724,92,0.587
IN,Steuben County,12791,800797,915,45506,990,67187,75,0.586
IN,Switzerland County,3254,157453,227,9548,246,11523,19,0.584
AL,Marion County,8393,407247,542,19862,591,21494,49,0.584
MI,Oceana County,9442,501563,691,32287,746,35602,55,0.583
NH,Belknap County,25725,2046114,2076,131642,2226,203653,150,0.583
SC,Abbeville County,7563,374968,465,19594,509,20849,44,0.582
MN,Mille Lacs County,9273,486950,858,40794,912,44033,54,0.582
MO,Chariton County,2754,141016,125,4936,141,5576,16,0.581
TX,Milam County,8090,431278,611,24910,658,32857,47,0.581
IA,Adair County,2761,149122,151,5757,167,6431,16,0.58
IN,Warrick County,22941,2081618,1741,105982,1874,118067,133,0.58
MO,Polk County,9479,484861,805,29238,860,33153,55,0.58
KY,Nelson County,17301,1077503,980,45472,1080,48163,100,0.578
CA,Del Norte County,7650,405135,533,24141,577,28615,44,0.575
ID,Power County,2433,101425,175,7208,189,7106,14,0.575
MN,Anoka County,135802,10981539,10887,640364,11667,603814,780,0.574
ND,Oliver County,702,48879,42,2755,46,3076,4,0.57
IN,Morgan County,26081,1727418,2060,103343,2208,110241,148,0.567
AR,Johnson County,7603,351662,512,18976,555,20700,43,0.566
TX,Washington County,12232,850201,822,40875,891,60850,69,0.564
GA,Fulton County,373518,44050557,46808,3543949,48914,3813753,2106,0.564
MI,Clinton County,28549,2235809,2456,125913,2617,142627,161,0.564
NC,Cleveland County,32516,1711981,1876,72256,2059,81015,183,0.563
KY,Hart County,5877,246282,343,11079,376,13312,33,0.562
ID,Lemhi County,2855,136056,191,6889,207,11612,16,0.56
KY,Taylor County,8070,399012,496,20046,541,19773,45,0.558
WY,Sheridan County,11819,995300,834,45353,900,51367,66,0.558
TN,Carter County,18013,844519,1321,43189,1421,54932,100,0.555
MO,Newton County,18387,1117888,1696,73052,1798,76016,102,0.555
TX,Lavaca County,7204,482365,438,20123,478,28882,40,0.555
ID,Bingham County,14284,785072,1018,43334,1097,50485,79,0.553
TX,Swisher County,2174,105432,159,8005,171,4078,12,0.552
MO,Lewis County,3263,164785,205,6211,223,9047,18,0.552
ID,Bannock County,27100,1618652,1880,82792,2029,90515,149,0.55
IL,Kendall County,43559,3764550,4392,291445,4631,291977,239,0.549
MN,Morrison County,12587,707442,739,34347,808,42690,69,0.548
NC,Rowan County,48391,2658562,3208,134407,3473,155549,265,0.548
VA,Gloucester County,14409,975115,1046,53432,1125,66238,79,0.548
IN,Ohio County,2192,124650,159,7227,171,8325,12,0.547
GA,Carroll County,34993,2262293,2974,132952,3165,152347,191,0.546
NC,Catawba County,56589,3665813,3799,198895,4106,219069,307,0.543
NC,Alleghany County,3690,199759,185,9808,205,10505,20,0.542
TX,Howard County,9818,729510,808,43218,861,42394,53,0.54
VA,Warren County,14631,983113,1287,74125,1366,83004,79,0.54
KY,Oldham County,20738,2594029,1777,173802,1889,181105,112,0.54
TX,Hopkins County,11857,644538,860,34716,924,44542,64,0.54
IA,Polk County,179333,15111284,12375,746798,13343,758910,968,0.54
GA,Heard County,3168,185811,265,9745,282,10739,17,0.537
IA,Madison County,5638,449048,453,24230,483,30662,30,0.532
KY,Jackson County,3573,148446,167,5254,186,6900,19,0.532
KS,Smith County,1508,66287,50,1521,58,1946,8,0.531
NM,Lea County,20946,1333248,1221,66929,1332,59162,111,0.53
TN,Hamilton County,128083,9905434,8094,456723,8772,560766,678,0.529
IN,Whitley County,13259,916344,871,40142,941,46818,70,0.528
IN,Tipton County,5878,383716,442,19346,473,21745,31,0.527
GA,Appling County,5508,271497,291,11108,320,10695,29,0.527
MO,Jefferson County,83014,5248960,5038,266756,5474,272203,436,0.525
GA,Bleckley County,3641,197488,238,9408,257,9022,19,0.522
OR,Malheur County,8235,383662,616,24091,659,23240,43,0.522
RI,Bristol County,18784,2357316,1317,141968,1415,122626,98,0.522
OR,Baker County,5565,274088,369,15241,398,17750,29,0.521
MS,Pearl River County,16311,860103,1100,47488,1185,53265,85,0.521
WV,Summers County,3485,154113,200,6737,218,8442,18,0.516
ID,Idaho County,5065,249783,365,14320,391,22230,26,0.513
CO,La Plata County,20718,1740363,1898,112022,2004,140391,106,0.512
MO,Schuyler County,1367,53923,92,3058,99,3583,7,0.512
WA,Okanogan County,14379,757710,895,40611,968,50237,73,0.508
WI,Marinette County,16198,868370,991,45186,1073,48609,82,0.506
VA,Southampton County,5931,345499,410,17618,440,18168,30,0.506
NE,Merrick County,2768,152963,168,7567,182,8567,14,0.506
VA,Patrick County,5926,283562,277,11046,307,11191,30,0.506
UT,Carbon County,6142,352992,391,16419,422,16382,31,0.505
MO,DeKalb County,3169,164504,274,10392,290,10902,16,0.505
KS,Jewell County,1196,54306,41,1104,47,1607,6,0.502
MO,Laclede County,11804,545060,742,30410,801,28794,59,0.5
IN,Porter County,63902,5240688,4332,244133,4651,275448,319,0.499
IL,Jasper County,3806,220675,125,4710,144,5732,19,0.499
IL,Grundy County,19294,1536201,1564,102107,1660,86465,96,0.498
NC,Burke County,29713,1523282,1772,71901,1920,83117,148,0.498
TX,Gaines County,5837,357624,360,20743,389,19482,29,0.497
KS,Harper County,2022,97478,95,3787,105,3399,10,0.495
WV,Jefferson County,20192,1547589,1702,109523,1802,111099,100,0.495
HI,Hawaii County,70835,4351974,3653,199739,4003,259449,350,0.494
MD,Howard County,116264,15233847,11536,953048,12106,908741,570,0.49
TX,Hardeman County,1224,50446,70,2896,76,2649,6,0.49
WI,Juneau County,9861,507664,710,27521,758,35520,48,0.487
NC,Mecklenburg County,375430,37313508,34327,2511245,36156,2658138,1829,0.487
AR,Carroll County,9453,439753,650,23117,696,31911,46,0.487
VT,Franklin County,19902,1223621,1138,57394,1235,58035,97,0.487
SC,Newberry County,12778,687796,673,31993,735,38029,62,0.485
AL,Tallapoosa County,13425,714031,871,41928,936,55021,65,0.484
CO,Routt County,9940,1069506,1007,66256,1055,89085,48,0.483
TN,Rhea County,10382,521559,685,28407,735,35832,50,0.482
SC,Charleston County,141710,13535232,14449,884980,15130,1354657,681,0.481
TN,Pickett County,1668,91388,114,6201,122,7706,8,0.48
MS,Rankin County,50963,3499630,3619,196182,3863,195023,244,0.479
KS,Wabaunsee County,2517,151395,137,6503,149,7746,12,0.477
VA,Hanover County,40270,3771914,3099,196821,3290,216460,191,0.474
NH,Rockingham County,129670,13621666,9769,837564,10379,882097,610,0.47
NY,Sullivan County,26581,1614140,1780,96528,1905,100167,125,0.47
MI,Emmet County,13686,1027354,989,71593,1053,97656,64,0.468
MO,Ray County,8212,489557,646,28094,684,31849,38,0.463
MS,Choctaw County,2591,118933,159,5628,171,7125,12,0.463
NE,Garfield County,650,29650,33,2338,36,1020,3,0.462
OR,Washington County,214549,20931809,19016,1353351,20005,1325403,989,0.461
KY,Menifee County,1766,72607,113,2947,121,4624,8,0.453
GA,Lee County,9948,695970,1070,56542,1115,51556,45,0.452
IA,Delaware County,6661,393378,319,14583,349,16718,30,0.45
MI,Ontonagon County,2232,103646,91,3559,101,4970,10,0.448
IA,Clayton County,6920,388860,335,12586,366,17395,31,0.448
OK,Lincoln County,10277,547155,911,37880,957,48713,46,0.448
NC,Hyde County,1565,71639,73,3114,80,3094,7,0.447
OH,Medina County,72172,5942980,4539,275281,4860,308859,321,0.445
TN,Giles County,10112,525581,702,29114,747,36238,45,0.445
NY,Greene County,17816,1119117,1172,57403,1251,77814,79,0.443
MS,Madison County,37142,3416547,3194,215953,3358,244610,164,0.442
NC,New Hanover County,76363,6112267,7427,388000,7763,523026,336,0.44
ME,Waldo County,14846,814885,1039,46800,1104,56847,65,0.438
OK,Pottawatomie County,21803,1187180,1654,66849,1749,68997,95,0.436
MI,Menominee County,8959,530668,459,18541,498,22254,39,0.435
VA,Charles City County,2767,170732,167,7735,179,11729,12,0.434
ID,Washington County,3233,146637,270,10155,284,14129,14,0.433
VA,Lancaster County,4628,347227,271,16487,291,26732,20,0.432
FL,Seminole County,163866,12591524,19014,1056393,19718,1043750,704,0.43
GA,Montgomery County,2323,119153,206,7956,216,6975,10,0.43
TN,Lincoln County,11940,649652,742,31376,793,40461,51,0.427
IA,Bremer County,8900,679615,569,28138,607,29971,38,0.427
WI,Calumet County,19029,1546041,1593,96000,1674,101818,81,0.426
TX,Randall County,45684,3609729,4791,245881,4985,257519,194,0.425
WA,Chelan County,29250,2123481,2351,125535,2475,160149,124,0.424
PA,Washington County,82362,6924404,3942,286149,4291,284630,349,0.424
WI,Washington County,55490,4724803,3343,205382,3576,225990,233,0.42
KY,Boone County,45535,3790379,4641,291704,4832,263576,191,0.419
OK,Tillman County,2146,93223,134,6829,143,5079,9,0.419
WI,Chippewa County,24756,1593830,1614,71850,1717,89599,103,0.416
KS,Osage County,5792,316223,439,17403,463,18913,24,0.414
MS,Tishomingo County,5801,290717,315,11841,339,12121,24,0.414
KY,Lewis County,3880,176202,187,6831,203,6137,16,0.412
VT,Orange County,11886,735616,865,40956,914,45214,49,0.412
AL,Marshall County,30376,1731420,1907,75711,2032,93034,125,0.412
MO,Clinton County,7306,464578,732,35342,762,36100,30,0.411
OK,Atoka County,3907,185385,258,9810,274,10666,16,0.41
KY,Madison County,27678,1668343,2406,106678,2519,116549,113,0.408
VA,Roanoke County,35790,2867149,3316,179856,3462,191542,146,0.408
IN,Jefferson County,11558,674626,657,29100,704,27664,47,0.407
AL,Walker County,19713,1160234,907,38323,987,41789,80,0.406
CO,Jackson County,493,23663,22,754,24,1073,2,0.406
FL,Palm Beach County,553857,61273140,35233,2953481,37476,5417837,2243,0.405
KY,Laurel County,18540,943972,1157,42256,1232,49268,75,0.405
IN,DeKalb County,16289,1008141,1125,51108,1191,49491,66,0.405
WI,Dodge County,34122,2154396,2363,127966,2501,119032,138,0.404
MN,Mahnomen County,1741,85663,101,3920,108,3970,7,0.402
NC,Perquimans County,4484,260300,396,14481,414,20831,18,0.401
TN,Warren County,13261,626587,740,27305,793,30071,53,0.4
NY,Saratoga County,92707,10060047,6895,655521,7266,780689,371,0.4
MS,Franklin County,2508,143591,134,5412,144,7006,10,0.399
GA,Baldwin County,12853,668214,868,34261,919,43487,51,0.397
SC,Chesterfield County,14145,630352,663,28243,719,30269,56,0.396
VT,Essex County,2279,101084,177,5280,186,7537,9,0.395
ME,Androscoggin County,39357,2179122,2525,115960,2680,113106,155,0.394
MO,Osage County,4850,469655,234,8811,253,10280,19,0.392
NC,Northampton County,6131,272670,392,11946,416,14457,24,0.391
RI,Kent County,69664,5663811,4946,337173,5218,316999,272,0.39
TN,Washington County,43581,2843658,3678,199787,3848,193422,170,0.39
IN,Noble County,17214,977139,1218,53217,1285,57369,67,0.389
GA,Marion County,2059,95463,155,6067,163,5803,8,0.389
GA,Brantley County,4901,222414,355,11639,374,12369,19,0.388
NE,Butler County,3124,186293,162,7372,174,8360,12,0.384
NE,Nemaha County,2350,153961,140,7350,149,6443,9,0.383
IN,Henry County,17240,908640,1065,44151,1131,45658,66,0.383
IL,Johnson County,3938,222997,244,10686,259,18960,15,0.381
AR,Hot Spring County,9485,486580,717,26088,753,29374,36,0.38
MT,Carbon County,3967,243889,333,13986,348,23750,15,0.378
MD,Harford County,98171,8610040,6332,424867,6702,416096,370,0.377
MO,Franklin County,39465,2560544,2163,97128,2311,121518,148,0.375
VT,Orleans County,11220,546189,540,23471,582,34300,42,0.374
WI,Vernon County,10970,592828,659,27835,700,33542,41,0.374
PA,Monroe County,60121,3684696,4283,213540,4506,250461,223,0.371
MO,Ste. Genevieve County,6515,407677,412,18019,436,18250,24,0.368
MN,Becker County,12484,824855,808,42514,854,47628,46,0.368
KY,Montgomery County,8965,484109,683,25859,716,27478,33,0.368
KS,Miami County,11694,933051,973,52636,1016,66103,43,0.368
MO,St. Charles County,150687,12896086,9825,641975,10378,659764,553,0.367
AR,Craighead County,32462,2108035,2526,106905,2645,112980,119,0.367
OK,Cleveland County,91219,6910365,8904,424981,9239,444358,335,0.367
ME,Franklin County,10371,529577,685,33849,723,36060,38,0.366
IN,Shelby County,16679,1035640,1149,52665,1210,52382,61,0.366
KS,Kingman County,2736,148599,181,16685,191,8596,10,0.365
IA,Ringgold County,1647,77506,81,3015,87,4728,6,0.364
AL,Blount County,17300,982763,1148,51327,1211,52661,63,0.364
AL,Etowah County,33042,1743402,1675,64519,1795,76285,120,0.363
IN,Owen County,7459,386475,568,22948,595,25855,27,0.362
MO,Cooper County,5810,300566,415,15741,436,18938,21,0.361
MN,Dodge County,7792,574781,542,27985,570,27338,28,0.359
GA,Floyd County,30554,1865901,1790,99242,1899,81521,109,0.357
NC,Caldwell County,26870,1369394,1521,60709,1617,74226,96,0.357
IA,Buchanan County,7562,473578,410,17968,437,19341,27,0.357
WV,Braxton County,4214,207685,175,7144,190,7228,15,0.356
NE,Franklin County,1125,53532,54,2204,58,2083,4,0.356
KY,Franklin County,19421,1166722,1421,63642,1490,62637,69,0.355
KY,Carlisle County,1691,89943,81,2527,87,3519,6,0.355
MO,Ozark County,2818,108346,197,5693,207,9838,10,0.355
MO,Vernon County,6502,301024,425,15901,448,15084,23,0.354
MN,Goodhue County,18661,1388802,1189,67546,1255,70915,66,0.354
AL,Greene County,2549,95056,135,4423,144,4688,9,0.353
VA,Washington County,17959,1134696,1122,52299,1185,55991,63,0.351
PA,Tioga County,15100,855715,699,33019,752,37223,53,0.351
GA,Fayette County,39298,4328896,3983,315298,4120,320777,137,0.349
IN,Fayette County,8067,392389,400,17589,428,15294,28,0.347
OK,Ottawa County,9509,416241,655,24972,688,22541,33,0.347
KY,Casey County,4626,186580,261,11207,277,9588,16,0.346
VA,Northampton County,4623,277456,268,12488,284,21501,16,0.346
VA,Shenandoah County,16565,998054,1132,58619,1189,61418,57,0.344
MD,Anne Arundel County,217992,22622741,18828,1386775,19576,1342872,748,0.343
VA,Page County,8745,442823,388,17784,418,18408,30,0.343
KS,Butler County,22244,1677009,1791,108648,1867,101193,76,0.342
OK,Love County,3215,167052,303,12045,314,11659,11,0.342
MI,Muskegon County,62076,3380386,3080,134139,3290,159541,210,0.338
KY,Washington County,4141,216418,286,9213,300,11113,14,0.338
MD,Wicomico County,35135,2100913,2415,117676,2533,101091,118,0.336
IL,Piatt County,6276,485942,448,23947,469,28450,21,0.335
GA,Irwin County,2731,135086,209,6028,218,7071,9,0.33
IN,Fountain County,6111,320647,427,18333,447,18603,20,0.327
TX,Edwards County,612,35212,46,2043,48,3050,2,0.327
TX,Stephens County,2759,140533,158,6954,167,8076,9,0.326
ID,Nez Perce County,14425,890556,1136,47190,1183,52487,47,0.326
OH,Perry County,12018,631570,781,31527,820,34758,39,0.325
ND,Hettinger County,927,54090,39,2171,42,1822,3,0.324
MN,Douglas County,15146,1098044,943,42548,992,74016,49,0.324
MT,Yellowstone County,61209,4466111,3464,187045,3662,192899,198,0.323
MI,Sanilac County,15185,778613,866,39051,915,40376,49,0.323
WI,Walworth County,38483,2792024,2874,151325,2998,185945,124,0.322
WI,Monroe County,17112,963042,1195,58761,1250,57030,55,0.321
TX,Bexar County,674412,44427764,38604,2387824,40760,2308578,2156,0.32
MA,Plymouth County,204025,21041244,11602,1006256,12253,994861,651,0.319
AR,Madison County,5041,239750,392,15007,408,17487,16,0.317
NC,Pasquotank County,13342,691106,1203,52719,1245,52915,42,0.315
MO,Texas County,7302,295279,536,18238,559,21763,23,0.315
OR,Morrow County,3499,199388,288,12662,299,12378,11,0.314
KY,Powell County,3816,163692,258,8822,270,10021,12,0.314
NC,Stokes County,15719,853929,1020,40995,1069,46514,49,0.312
CA,Shasta County,60488,3889602,3822,203017,4010,205471,188,0.311
GA,Johnson County,2251,95293,134,4181,141,4464,7,0.311
KY,Boyle County,9366,559588,791,34256,820,33812,29,0.31
KY,Kenton County,59416,5028508,5475,322682,5659,290914,184,0.31
