,outflow_state,outflow_county,outflow_n1,outflow_n2,agi_x,inflow_state,inflow_county,inflow_n1,inflow_n2,agi_y
74,AL,Lamar County Total Migration-US and Foreign,209,429,7735,AL,Lamar County Total Migration-US and Foreign,203,447,7785
75,AL,Lamar County Non-migrants,4270,9882,203997,AL,Lamar County Non-migrants,4270,9882,203997
76,AL,Lauderdale County Total Migration-US and Foreign,1796,3390,81278,AL,Lauderdale County Total Migration-US and Foreign,1738,3289,85208
77,AL,Lauderdale County Non-migrants,30111,64510,1848340,AL,Lauderdale County Non-migrants,30111,64510,1848340
78,AL,Lawrence County Total Migration-US and Foreign,612,1208,22502,AL,Lawrence County Total Migration-US and Foreign,558,1221,22576
79,AL,Lawrence County Non-migrants,10656,23667,527998,AL,Lawrence County Non-migrants,10656,23667,527998
80,AL,Lee County Total Migration-US and Foreign,4706,8895,221088,AL,Lee County Total Migration-US and Foreign,4683,9563,269264
81,AL,Lee County Non-migrants,47070,104863,3292931,AL,Lee County Non-migrants,47070,104863,3292931
82,AL,Limestone County Total Migration-US and Foreign,2125,4525,140568,AL,Limestone County Total Migration-US and Foreign,3100,6669,201811
83,AL,Limestone County Non-migrants,30768,70893,2193176,AL,Limestone County Non-migrants,30768,70893,2193176
84,AL,Lowndes County Total Migration-US and Foreign,291,619,10278,AL,Lowndes County Total Migration-US and Foreign,254,553,9619
85,AL,Lowndes County Non-migrants,3688,8038,153827,AL,Lowndes County Non-migrants,3688,8038,153827
86,AL,Macon County Total Migration-US and Foreign,419,872,13670,AL,Macon County Total Migration-US and Foreign,336,667,11425
87,AL,Macon County Non-migrants,5737,11211,247548,AL,Macon County Non-migrants,5737,11211,247548
88,AL,Madison County Total Migration-US and Foreign,8260,15986,495996,AL,Madison County Total Migration-US and Foreign,9684,19465,583495
89,AL,Madison County Non-migrants,131042,281288,10765002,AL,Madison County Non-migrants,131042,281288,10765002
90,AL,Marengo County Total Migration-US and Foreign,393,846,17647,AL,Marengo County Total Migration-US and Foreign,322,649,11895
91,AL,Marengo County Non-migrants,6401,14368,334692,AL,Marengo County Non-migrants,6401,14368,334692
92,AL,Marion County Total Migration-US and Foreign,542,1150,19862,AL,Marion County Total Migration-US and Foreign,591,1256,21494
93,AL,Marion County Non-migrants,8393,19001,407247,AL,Marion County Non-migrants,8393,19001,407247
94,AL,Marshall County Total Migration-US and Foreign,1907,3893,75711,AL,Marshall County Total Migration-US and Foreign,2032,4248,93034
95,AL,Marshall County Non-migrants,30376,70239,1731420,AL,Marshall County Non-migrants,30376,70239,1731420
96,AL,Mobile County Total Migration-US and Foreign,6050,11749,308523,AL,Mobile County Total Migration-US and Foreign,5384,10272,249109
97,AL,Mobile County Non-migrants,134470,290784,8190194,AL,Mobile County Non-migrants,134470,290784,8190194
98,AL,Monroe County Total Migration-US and Foreign,342,729,15260,AL,Monroe County Total Migration-US and Foreign,271,604,11819
99,AL,Monroe County Non-migrants,6314,14374,305923,AL,Monroe County Non-migrants,6314,14374,305923
100,AL,Montgomery County Total Migration-US and Foreign,5533,11217,315066,AL,Montgomery County Total Migration-US and Foreign,4639,9507,232931
101,AL,Montgomery County Non-migrants,75008,157792,4705233,AL,Montgomery County Non-migrants,75008,157792,4705233
102,AL,Morgan County Total Migration-US and Foreign,2215,4377,96718,AL,Morgan County Total Migration-US and Foreign,2531,5146,111968
103,AL,Morgan County Non-migrants,40420,90527,2508187,AL,Morgan County Non-migrants,40420,90527,2508187
104,AL,Perry County Total Migration-US and Foreign,172,364,4890,AL,Perry County Total Migration-US and Foreign,127,259,4553
105,AL,Perry County Non-migrants,2885,6339,96506,AL,Perry County Non-migrants,2885,6339,96506
106,AL,Pickens County Total Migration-US and Foreign,295,611,11397,AL,Pickens County Total Migration-US and Foreign,235,522,9422
107,AL,Pickens County Non-migrants,5852,13072,292653,AL,Pickens County Non-migrants,5852,13072,292653
108,AL,Pike County Total Migration-US and Foreign,754,1434,25969,AL,Pike County Total Migration-US and Foreign,599,1213,20715
109,AL,Pike County Non-migrants,9484,19867,527949,AL,Pike County Non-migrants,9484,19867,527949
110,AL,Randolph County Total Migration-US and Foreign,412,886,22063,AL,Randolph County Total Migration-US and Foreign,478,1036,25455
111,AL,Randolph County Non-migrants,7005,15607,338958,AL,Randolph County Non-migrants,7005,15607,338958
112,AL,Russell County Total Migration-US and Foreign,2386,5385,90500,AL,Russell County Total Migration-US and Foreign,2605,5810,98118
113,AL,Russell County Non-migrants,16861,36178,742780,AL,Russell County Non-migrants,16861,36178,742780
114,AL,St. Clair County Total Migration-US and Foreign,2139,4318,108142,AL,St. Clair County Total Migration-US and Foreign,2449,4873,130090
115,AL,St. Clair County Non-migrants,28340,64233,1776062,AL,St. Clair County Non-migrants,28340,64233,1776062
116,AL,Shelby County Total Migration-US and Foreign,6059,11675,421656,AL,Shelby County Total Migration-US and Foreign,6554,12842,419442
117,AL,Shelby County Non-migrants,71240,164207,6883125,AL,Shelby County Non-migrants,71240,164207,6883125
118,AL,Sumter County Total Migration-US and Foreign,212,415,6952,AL,Sumter County Total Migration-US and Foreign,176,349,6070
119,AL,Sumter County Non-migrants,3699,7829,144451,AL,Sumter County Non-migrants,3699,7829,144451
120,AL,Talladega County Total Migration-US and Foreign,1638,3303,72932,AL,Talladega County Total Migration-US and Foreign,1661,3416,70022
121,AL,Talladega County Non-migrants,25231,54682,1282108,AL,Talladega County Non-migrants,25231,54682,1282108
122,AL,Tallapoosa County Total Migration-US and Foreign,871,1748,41928,AL,Tallapoosa County Total Migration-US and Foreign,936,1980,55021
123,AL,Tallapoosa County Non-migrants,13425,29372,714031,AL,Tallapoosa County Non-migrants,13425,29372,714031
124,AL,Tuscaloosa County Total Migration-US and Foreign,3914,7093,184222,AL,Tuscaloosa County Total Migration-US and Foreign,3686,7016,187622
125,AL,Tuscaloosa County Non-migrants,63351,137353,4196259,AL,Tuscaloosa County Non-migrants,63351,137353,4196259
126,AL,Walker County Total Migration-US and Foreign,907,1815,38323,AL,Walker County Total Migration-US and Foreign,987,2064,41789
127,AL,Walker County Non-migrants,19713,44395,1160234,AL,Walker County Non-migrants,19713,44395,1160234
128,AL,Washington County Total Migration-US and Foreign,305,649,12782,AL,Washington County Total Migration-US and Foreign,277,626,12248
129,AL,Washington County Non-migrants,5038,11603,289932,AL,Washington County Non-migrants,5038,11603,289932
130,AL,Wilcox County Total Migration-US and Foreign,208,437,5975,AL,Wilcox County Total Migration-US and Foreign,166,387,5865
131,AL,Wilcox County Non-migrants,3335,7497,130558,AL,Wilcox County Non-migrants,3335,7497,130558
132,AL,Winston County Total Migration-US and Foreign,486,979,21091,AL,Winston County Total Migration-US and Foreign,471,1022,24820
133,AL,Winston County Non-migrants,6953,15778,366000,AL,Winston County Non-migrants,6953,15778,366000
134,AZ,Apache County Total Migration-US and Foreign,1750,4017,60646,AZ,Apache County Total Migration-US and Foreign,1737,4047,62721
135,AZ,Apache County Non-migrants,18813,46854,796008,AZ,Apache County Non-migrants,18813,46854,796008
136,AZ,Cochise County Total Migration-US and Foreign,3694,7761,194275,AZ,Cochise County Total Migration-US and Foreign,4014,8367,195135
137,AZ,Cochise County Non-migrants,40799,89275,2209184,AZ,Cochise County Non-migrants,40799,89275,2209184
138,AZ,Coconino County Total Migration-US and Foreign,4959,8385,247737,AZ,Coconino County Total Migration-US and Foreign,4479,7672,270112
139,AZ,Coconino County Non-migrants,43997,92258,3020851,AZ,Coconino County Non-migrants,43997,92258,3020851
140,AZ,Gila County Total Migration-US and Foreign,1215,2387,58993,AZ,Gila County Total Migration-US and Foreign,1477,2750,87616
141,AZ,Gila County Non-migrants,16962,36042,872935,AZ,Gila County Non-migrants,16962,36042,872935
142,AZ,Graham County Total Migration-US and Foreign,558,1257,30940,AZ,Graham County Total Migration-US and Foreign,668,1634,27533
143,AZ,Graham County Non-migrants,8832,22750,475349,AZ,Graham County Non-migrants,8832,22750,475349
144,AZ,Greenlee County Total Migration-US and Foreign,252,572,16302,AZ,Greenlee County Total Migration-US and Foreign,218,520,10433
145,AZ,Greenlee County Non-migrants,2575,6322,159682,AZ,Greenlee County Non-migrants,2575,6322,159682
146,AZ,La Paz County Total Migration-US and Foreign,487,923,19477,AZ,La Paz County Total Migration-US and Foreign,604,1110,27028
147,AZ,La Paz County Non-migrants,4905,10498,201858,AZ,La Paz County Non-migrants,4905,10498,201858
148,AZ,Maricopa County Total Migration-US and Foreign,67741,126695,4328950,AZ,Maricopa County Total Migration-US and Foreign,88231,165435,6573244
149,AZ,Maricopa County Non-migrants,1471961,3174011,117024435,AZ,Maricopa County Non-migrants,1471961,3174011,117024435
150,AZ,Mohave County Total Migration-US and Foreign,4993,9480,209302,AZ,Mohave County Total Migration-US and Foreign,7087,13006,408188
151,AZ,Mohave County Non-migrants,63714,127549,3107995,AZ,Mohave County Non-migrants,63714,127549,3107995
152,AZ,Navajo County Total Migration-US and Foreign,2405,5021,106421,AZ,Navajo County Total Migration-US and Foreign,3024,6456,141791
153,AZ,Navajo County Non-migrants,30364,73876,1433215,AZ,Navajo County Non-migrants,30364,73876,1433215
154,AZ,Pima County Total Migration-US and Foreign,18183,33247,1047202,AZ,Pima County Total Migration-US and Foreign,21813,39680,1426356
155,AZ,Pima County Non-migrants,357693,735057,23566216,AZ,Pima County Non-migrants,357693,735057,23566216
156,AZ,Pinal County Total Migration-US and Foreign,11620,24063,619118,AZ,Pinal County Total Migration-US and Foreign,16547,34155,911743
157,AZ,Pinal County Non-migrants,111736,256932,6261375,AZ,Pinal County Non-migrants,111736,256932,6261375
158,AZ,Santa Cruz County Total Migration-US and Foreign,968,2073,37680,AZ,Santa Cruz County Total Migration-US and Foreign,901,1858,48370
159,AZ,Santa Cruz County Non-migrants,16224,40427,805158,AZ,Santa Cruz County Non-migrants,16224,40427,805158
160,AZ,Yavapai County Total Migration-US and Foreign,5957,10377,303569,AZ,Yavapai County Total Migration-US and Foreign,8607,15281,606970
161,AZ,Yavapai County Non-migrants,84339,163126,5047686,AZ,Yavapai County Non-migrants,84339,163126,5047686
162,AZ,Yuma County Total Migration-US and Foreign,4238,8912,200681,AZ,Yuma County Total Migration-US and Foreign,4436,9225,206184
163,AZ,Yuma County Non-migrants,66043,164733,3245893,AZ,Yuma County Non-migrants,66043,164733,3245893
164,AR,Arkansas County Total Migration-US and Foreign,329,668,12397,AR,Arkansas County Total Migration-US and Foreign,270,545,10647
165,AR,Arkansas County Non-migrants,6006,12907,332596,AR,Arkansas County Non-migrants,6006,12907,332596
166,AR,Ashley County Total Migration-US and Foreign,287,597,10739,AR,Ashley County Total Migration-US and Foreign,251,524,9606
167,AR,Ashley County Non-migrants,6257,14202,319699,AR,Ashley County Non-migrants,6257,14202,319699
168,AR,Baxter County Total Migration-US and Foreign,926,1713,34661,AR,Baxter County Total Migration-US and Foreign,1165,2295,55850
169,AR,Baxter County Non-migrants,14071,28539,759342,AR,Baxter County Non-migrants,14071,28539,759342
170,AR,Benton County Total Migration-US and Foreign,7237,14881,511876,AR,Benton County Total Migration-US and Foreign,9356,19327,571782
171,AR,Benton County Non-migrants,87242,205979,13820588,AR,Benton County Non-migrants,87242,205979,13820588
172,AR,Boone County Total Migration-US and Foreign,838,1676,32970,AR,Boone County Total Migration-US and Foreign,850,1739,33112
173,AR,Boone County Non-migrants,11975,26698,660747,AR,Boone County Non-migrants,11975,26698,660747
174,AR,Bradley County Total Migration-US and Foreign,171,371,6381,AR,Bradley County Total Migration-US and Foreign,176,375,5337
175,AR,Bradley County Non-migrants,3313,7793,153802,AR,Bradley County Non-migrants,3313,7793,153802
176,AR,Calhoun County Total Migration-US and Foreign,85,172,2903,AR,Calhoun County Total Migration-US and Foreign,85,198,3226
177,AR,Calhoun County Non-migrants,1490,3289,83730,AR,Calhoun County Non-migrants,1490,3289,83730
178,AR,Carroll County Total Migration-US and Foreign,650,1292,23117,AR,Carroll County Total Migration-US and Foreign,696,1358,31911
179,AR,Carroll County Non-migrants,9453,20348,439753,AR,Carroll County Non-migrants,9453,20348,439753
180,AR,Chicot County Total Migration-US and Foreign,209,461,6815,AR,Chicot County Total Migration-US and Foreign,175,391,7136
181,AR,Chicot County Non-migrants,3014,6570,133132,AR,Chicot County Non-migrants,3014,6570,133132
182,AR,Clark County Total Migration-US and Foreign,527,1050,19698,AR,Clark County Total Migration-US and Foreign,473,968,15490
183,AR,Clark County Non-migrants,6265,13387,331713,AR,Clark County Non-migrants,6265,13387,331713
184,AR,Clay County Total Migration-US and Foreign,327,698,11052,AR,Clay County Total Migration-US and Foreign,277,605,9341
185,AR,Clay County Non-migrants,4631,10148,199151,AR,Clay County Non-migrants,4631,10148,199151
186,AR,Cleburne County Total Migration-US and Foreign,590,1208,24650,AR,Cleburne County Total Migration-US and Foreign,666,1372,34618
187,AR,Cleburne County Non-migrants,8137,17450,429677,AR,Cleburne County Non-migrants,8137,17450,429677
188,AR,Cleveland County Total Migration-US and Foreign,172,370,6624,AR,Cleveland County Total Migration-US and Foreign,163,347,6393
189,AR,Cleveland County Non-migrants,2400,5536,138763,AR,Cleveland County Non-migrants,2400,5536,138763
190,AR,Columbia County Total Migration-US and Foreign,410,795,16416,AR,Columbia County Total Migration-US and Foreign,343,704,12197
191,AR,Columbia County Non-migrants,6941,15195,394319,AR,Columbia County Non-migrants,6941,15195,394319
192,AR,Conway County Total Migration-US and Foreign,421,879,17130,AR,Conway County Total Migration-US and Foreign,468,981,19374
193,AR,Conway County Non-migrants,6395,14613,362676,AR,Conway County Non-migrants,6395,14613,362676
194,AR,Craighead County Total Migration-US and Foreign,2526,5015,106905,AR,Craighead County Total Migration-US and Foreign,2645,5505,112980
195,AR,Craighead County Non-migrants,32462,73203,2108035,AR,Craighead County Non-migrants,32462,73203,2108035
196,AR,Crawford County Total Migration-US and Foreign,1445,3042,53766,AR,Crawford County Total Migration-US and Foreign,1566,3272,61020
197,AR,Crawford County Non-migrants,18410,42877,979041,AR,Crawford County Non-migrants,18410,42877,979041
198,AR,Crittenden County Total Migration-US and Foreign,1114,2353,44482,AR,Crittenden County Total Migration-US and Foreign,938,1979,46137
199,AR,Crittenden County Non-migrants,15789,35141,782221,AR,Crittenden County Non-migrants,15789,35141,782221
200,AR,Cross County Total Migration-US and Foreign,393,846,14888,AR,Cross County Total Migration-US and Foreign,276,614,11718
201,AR,Cross County Non-migrants,5448,12386,264078,AR,Cross County Non-migrants,5448,12386,264078
202,AR,Dallas County Total Migration-US and Foreign,148,328,5252,AR,Dallas County Total Migration-US and Foreign,141,301,4990
203,AR,Dallas County Non-migrants,2167,4645,101876,AR,Dallas County Non-migrants,2167,4645,101876
204,AR,Desha County Total Migration-US and Foreign,281,623,9334,AR,Desha County Total Migration-US and Foreign,203,462,6245
205,AR,Desha County Non-migrants,3718,8229,157469,AR,Desha County Non-migrants,3718,8229,157469
206,AR,Drew County Total Migration-US and Foreign,429,893,16364,AR,Drew County Total Migration-US and Foreign,362,779,13851
207,AR,Drew County Non-migrants,5392,12254,303798,AR,Drew County Non-migrants,5392,12254,303798
208,AR,Faulkner County Total Migration-US and Foreign,3095,5887,137232,AR,Faulkner County Total Migration-US and Foreign,3154,6116,140359
209,AR,Faulkner County Non-migrants,37422,84776,2477199,AR,Faulkner County Non-migrants,37422,84776,2477199
210,AR,Franklin County Total Migration-US and Foreign,423,873,14324,AR,Franklin County Total Migration-US and Foreign,393,861,15118
211,AR,Franklin County Non-migrants,5141,11932,276520,AR,Franklin County Non-migrants,5141,11932,276520
212,AR,Fulton County Total Migration-US and Foreign,239,492,7263,AR,Fulton County Total Migration-US and Foreign,352,791,13347
213,AR,Fulton County Non-migrants,3418,7699,145742,AR,Fulton County Non-migrants,3418,7699,145742
214,AR,Garland County Total Migration-US and Foreign,2219,4069,110569,AR,Garland County Total Migration-US and Foreign,2530,4796,126788
215,AR,Garland County Non-migrants,33487,69588,1977673,AR,Garland County Non-migrants,33487,69588,1977673
216,AR,Grant County Total Migration-US and Foreign,395,829,16115,AR,Grant County Total Migration-US and Foreign,430,914,18874
217,AR,Grant County Non-migrants,5670,12932,372460,AR,Grant County Non-migrants,5670,12932,372460
218,AR,Greene County Total Migration-US and Foreign,923,2015,40080,AR,Greene County Total Migration-US and Foreign,1014,2198,35199
219,AR,Greene County Non-migrants,13329,30594,746478,AR,Greene County Non-migrants,13329,30594,746478
220,AR,Hempstead County Total Migration-US and Foreign,407,903,15574,AR,Hempstead County Total Migration-US and Foreign,352,768,12551
221,AR,Hempstead County Non-migrants,6527,14999,283389,AR,Hempstead County Non-migrants,6527,14999,283389
222,AR,Hot Spring County Total Migration-US and Foreign,717,1429,26088,AR,Hot Spring County Total Migration-US and Foreign,753,1602,29374
223,AR,Hot Spring County Non-migrants,9485,21232,486580,AR,Hot Spring County Non-migrants,9485,21232,486580
224,AR,Howard County Total Migration-US and Foreign,291,611,10716,AR,Howard County Total Migration-US and Foreign,248,549,9046
225,AR,Howard County Non-migrants,4235,9654,202232,AR,Howard County Non-migrants,4235,9654,202232
226,AR,Independence County Total Migration-US and Foreign,691,1437,29260,AR,Independence County Total Migration-US and Foreign,775,1641,31795
227,AR,Independence County Non-migrants,11436,26179,633574,AR,Independence County Non-migrants,11436,26179,633574
228,AR,Izard County Total Migration-US and Foreign,282,614,9896,AR,Izard County Total Migration-US and Foreign,337,711,13064
229,AR,Izard County Non-migrants,3672,8130,168306,AR,Izard County Non-migrants,3672,8130,168306
230,AR,Jackson County Total Migration-US and Foreign,291,627,10427,AR,Jackson County Total Migration-US and Foreign,326,695,10000
231,AR,Jackson County Non-migrants,4328,9394,205318,AR,Jackson County Non-migrants,4328,9394,205318
232,AR,Jefferson County Total Migration-US and Foreign,1476,2998,55257,AR,Jefferson County Total Migration-US and Foreign,1060,2148,35826
233,AR,Jefferson County Non-migrants,21975,46525,1067500,AR,Jefferson County Non-migrants,21975,46525,1067500
234,AR,Johnson County Total Migration-US and Foreign,512,1057,18976,AR,Johnson County Total Migration-US and Foreign,555,1168,20700
235,AR,Johnson County Non-migrants,7603,17886,351662,AR,Johnson County Non-migrants,7603,17886,351662
236,AR,Lafayette County Total Migration-US and Foreign,154,337,4780,AR,Lafayette County Total Migration-US and Foreign,137,292,4472
237,AR,Lafayette County Non-migrants,1947,4181,89508,AR,Lafayette County Non-migrants,1947,4181,89508
238,AR,Lawrence County Total Migration-US and Foreign,405,862,12684,AR,Lawrence County Total Migration-US and Foreign,327,690,10112
239,AR,Lawrence County Non-migrants,4679,10562,212488,AR,Lawrence County Non-migrants,4679,10562,212488
240,AR,Lee County Total Migration-US and Foreign,169,355,4454,AR,Lee County Total Migration-US and Foreign,145,319,3706
241,AR,Lee County Non-migrants,2144,4694,123622,AR,Lee County Non-migrants,2144,4694,123622
242,AR,Lincoln County Total Migration-US and Foreign,195,449,7538,AR,Lincoln County Total Migration-US and Foreign,177,379,5701
243,AR,Lincoln County Non-migrants,3000,6887,148010,AR,Lincoln County Non-migrants,3000,6887,148010
244,AR,Little River County Total Migration-US and Foreign,240,515,9330,AR,Little River County Total Migration-US and Foreign,270,555,10176
245,AR,Little River County Non-migrants,3847,8375,189179,AR,Little River County Non-migrants,3847,8375,189179
246,AR,Logan County Total Migration-US and Foreign,441,915,15315,AR,Logan County Total Migration-US and Foreign,451,955,15740
247,AR,Logan County Non-migrants,6531,14678,301943,AR,Logan County Non-migrants,6531,14678,301943
