,State,County,Returns Total,Total AGI,Outflow,Outflow AGI,Inflow,Inflow AGI,Net Inflow(Outflow),Percentage Flow
75,AZ,Mohave County ,63714,3107995,4993,209302,7087,408188,2094,0.03286561823147189
76,AZ,Navajo County ,30364,1433215,2405,106421,3024,141791,619,0.02038598340139639
77,AZ,Pima County ,357693,23566216,18183,1047202,21813,1426356,3630,0.010148367454772668
78,AZ,Pinal County ,111736,6261375,11620,619118,16547,911743,4927,0.044095009665640436
79,AZ,Santa Cruz County ,16224,805158,968,37680,901,48370,-67,-0.004129684418145957
80,AZ,Yavapai County ,84339,5047686,5957,303569,8607,606970,2650,0.03142081362121913
81,AZ,Yuma County ,66043,3245893,4238,200681,4436,206184,198,0.002998046727132323
82,AR,Arkansas County ,6006,332596,329,12397,270,10647,-59,-0.009823509823509824
83,AR,Ashley County ,6257,319699,287,10739,251,9606,-36,-0.005753556017260668
84,AR,Baxter County ,14071,759342,926,34661,1165,55850,239,0.016985288892047475
85,AR,Benton County ,87242,13820588,7237,511876,9356,571782,2119,0.024288760000916988
86,AR,Boone County ,11975,660747,838,32970,850,33112,12,0.0010020876826722339
87,AR,Bradley County ,3313,153802,171,6381,176,5337,5,0.001509206157561123
88,AR,Calhoun County ,1490,83730,85,2903,85,3226,0,0.0
89,AR,Carroll County ,9453,439753,650,23117,696,31911,46,0.004866180048661801
90,AR,Chicot County ,3014,133132,209,6815,175,7136,-34,-0.0112806901128069
91,AR,Clark County ,6265,331713,527,19698,473,15490,-54,-0.008619313647246609
92,AR,Clay County ,4631,199151,327,11052,277,9341,-50,-0.010796804145972791
93,AR,Cleburne County ,8137,429677,590,24650,666,34618,76,0.009340051616074721
94,AR,Cleveland County ,2400,138763,172,6624,163,6393,-9,-0.00375
95,AR,Columbia County ,6941,394319,410,16416,343,12197,-67,-0.009652787782740238
96,AR,Conway County ,6395,362676,421,17130,468,19374,47,0.007349491790461298
97,AR,Craighead County ,32462,2108035,2526,106905,2645,112980,119,0.003665824656521471
98,AR,Crawford County ,18410,979041,1445,53766,1566,61020,121,0.006572514937533949
99,AR,Crittenden County ,15789,782221,1114,44482,938,46137,-176,-0.011147001076698968
100,AR,Cross County ,5448,264078,393,14888,276,11718,-117,-0.021475770925110133
101,AR,Dallas County ,2167,101876,148,5252,141,4990,-7,-0.003230272265805261
102,AR,Desha County ,3718,157469,281,9334,203,6245,-78,-0.02097902097902098
103,AR,Drew County ,5392,303798,429,16364,362,13851,-67,-0.012425816023738873
104,AR,Faulkner County ,37422,2477199,3095,137232,3154,140359,59,0.001576612687723799
105,AR,Franklin County ,5141,276520,423,14324,393,15118,-30,-0.00583544057576347
106,AR,Fulton County ,3418,145742,239,7263,352,13347,113,0.033060269163253365
107,AR,Garland County ,33487,1977673,2219,110569,2530,126788,311,0.009287186072207125
108,AR,Grant County ,5670,372460,395,16115,430,18874,35,0.006172839506172839
109,AR,Greene County ,13329,746478,923,40080,1014,35199,91,0.006827218846124991
110,AR,Hempstead County ,6527,283389,407,15574,352,12551,-55,-0.008426535927685
111,AR,Hot Spring County ,9485,486580,717,26088,753,29374,36,0.0037954665260938325
112,AR,Howard County ,4235,202232,291,10716,248,9046,-43,-0.010153482880755607
113,AR,Independence County ,11436,633574,691,29260,775,31795,84,0.007345225603357817
114,AR,Izard County ,3672,168306,282,9896,337,13064,55,0.014978213507625272
115,AR,Jackson County ,4328,205318,291,10427,326,10000,35,0.008086876155268022
116,AR,Jefferson County ,21975,1067500,1476,55257,1060,35826,-416,-0.018930602957906714
