INTPTLAT,INTPTLNG,COUNTY NAME,USPS
34.779505,-90.779717,Lee County,AR
33.957675,-91.727626,Lincoln County,AR
33.699497,-94.229774,Little River County,AR
35.218654,-93.72091,Logan County,AR
34.755114,-91.894132,Lonoke County,AR
36.012545,-93.724053,Madison County,AR
36.266664,-92.678577,Marion County,AR
33.305505,-93.901502,Miller County,AR
35.766944,-90.052207,Mississippi County,AR
34.679512,-91.20331,Monroe County,AR
34.545656,-93.664153,Montgomery County,AR
33.666699,-93.305072,Nevada County,AR
35.910742,-93.215898,Newton County,AR
33.591168,-92.878413,Ouachita County,AR
34.946363,-92.926877,Perry County,AR
34.423687,-90.855593,Phillips County,AR
34.158191,-93.658659,Pike County,AR
35.56887,-90.681104,Poinsett County,AR
34.490915,-94.230884,Polk County,AR
35.456557,-93.026818,Pope County,AR
34.831116,-91.55362,Prairie County,AR
34.770311,-92.312996,Pulaski County,AR
36.341298,-91.028441,Randolph County,AR
35.022838,-90.751505,St. Francis County,AR
34.648525,-92.674463,Saline County,AR
34.858869,-94.063641,Scott County,AR
35.896387,-92.695888,Searcy County,AR
35.196981,-94.274989,Sebastian County,AR
33.994877,-94.243279,Sevier County,AR
36.173399,-91.471069,Sharp County,AR
35.857001,-92.140482,Stone County,AR
33.168219,-92.598145,Union County,AR
35.582953,-92.515976,Van Buren County,AR
35.978001,-94.217269,Washington County,AR
35.255118,-91.753034,White County,AR
35.192777,-91.244535,Woodruff County,AR
34.997713,-93.408303,Yell County,AR
37.647139,-121.912488,Alameda County,CA
38.621783,-119.798352,Alpine County,CA
38.44355,-120.653856,Amador County,CA
39.665959,-121.601919,Butte County,CA
38.1839,-120.561441,Calaveras County,CA
39.177739,-122.237563,Colusa County,CA
37.919479,-121.951543,Contra Costa County,CA
41.763958,-124.003614,Del Norte County,CA
38.785612,-120.534225,El Dorado County,CA
36.761006,-119.655019,Fresno County,CA
39.602546,-122.4017,Glenn County,CA
40.706655,-123.926176,Humboldt County,CA
33.040814,-115.3554,Imperial County,CA
36.561977,-117.403927,Inyo County,CA
35.346629,-118.729506,Kern County,CA
36.072478,-119.81553,Kings County,CA
39.094802,-122.746757,Lake County,CA
40.721086,-120.629952,Lassen County,CA
34.196398,-118.261862,Los Angeles County,CA
37.209821,-119.749802,Madera County,CA
38.051817,-122.745974,Marin County,CA
37.57003,-119.912861,Mariposa County,CA
39.432388,-123.442881,Mendocino County,CA
37.194806,-120.722802,Merced County,CA
41.592918,-120.71837,Modoc County,CA
37.915836,-118.875167,Mono County,CA
36.240107,-121.315572,Monterey County,CA
38.5071,-122.325904,Napa County,CA
39.297508,-120.771343,Nevada County,CA
33.675687,-117.777207,Orange County,CA
39.062032,-120.722718,Placer County,CA
39.992295,-120.824371,Plumas County,CA
33.729828,-116.002239,Riverside County,CA
38.450016,-121.340441,Sacramento County,CA
36.611651,-121.085811,San Benito County,CA
34.85722,-116.181197,San Bernardino County,CA
33.023604,-116.776117,San Diego County,CA
37.727239,-123.032229,San Francisco County,CA
37.934982,-121.272244,San Joaquin County,CA
35.385224,-120.447544,San Luis Obispo County,CA
37.414672,-122.371546,San Mateo County,CA
34.537057,-120.039973,Santa Barbara County,CA
37.220695,-121.69051,Santa Clara County,CA
37.012488,-122.007205,Santa Cruz County,CA
40.760514,-122.043556,Shasta County,CA
39.576925,-120.521993,Sierra County,CA
41.587986,-122.533287,Siskiyou County,CA
