,State,County,Returns Total,Total AGI,Outflow,Outflow AGI,Inflow,Inflow AGI,Net Inflow(Outflow),Percentage Flow
1797,GA,Grady County,7431,341925,464,16163,444,15816,-20,-0.26899999999999996
164,WI,Adams County,7462,373705,571,23087,758,39089,187,2.506
2774,MS,Leflore County,9218,393813,562,16516,413,13024,-149,-1.6159999999999999
530,OH,Madison County,14803,984351,1180,60181,1355,68156,175,1.182
1764,MA,Berkshire County,52653,3702620,2156,144858,2032,142403,-124,-0.23600000000000002
1151,GA,Irwin County,2731,135086,209,6028,218,7071,9,0.33
2848,MS,Hinds County,79978,4173791,5934,273387,4351,182171,-1583,-1.979
2467,TX,Nacogdoches County,19086,1101243,1538,57494,1358,54719,-180,-0.943
1349,TX,Morris County,4075,187181,332,12349,338,12428,6,0.147
1692,NY,Fulton County,20212,1110852,1163,59949,1128,53877,-35,-0.17300000000000001
308,GA,Putnam County,7156,440276,583,29167,709,61800,126,1.761
316,TX,Van Zandt County,17095,993741,1402,69838,1696,87164,294,1.72
2016,CA,Ventura County,318012,29295134,17225,1471512,15757,1254039,-1468,-0.462
1321,PA,Lebanon County,55983,3589170,2875,148175,2971,151412,96,0.171
2787,KY,Letcher County,5715,258762,293,11274,197,7455,-96,-1.68
760,MS,Lamar County,17752,1303142,2117,104460,2256,98316,139,0.7829999999999999
2257,PA,Lycoming County,43707,2558950,1936,101958,1635,73580,-301,-0.6890000000000001
814,ID,Twin Falls County,28464,1526081,2093,92958,2296,111399,203,0.713
1434,TN,Weakley County,9969,514333,705,25271,712,25509,7,0.07
2321,WV,Wyoming County,5517,263366,225,9515,183,6293,-42,-0.7609999999999999
1772,MO,Sullivan County,2077,84336,160,5321,155,5203,-5,-0.24100000000000002
1627,IL,Whiteside County,22472,1308511,1004,45531,982,40787,-22,-0.098
77,GA,Greene County,6093,645643,428,44530,627,105277,199,3.266
979,KY,Jackson County,3573,148446,167,5254,186,6900,19,0.532
1628,TX,Kinney County,1012,54273,61,3050,60,2965,-1,-0.099
2670,NJ,Middlesex County,318211,29698095,24936,1989830,20753,1502853,-4183,-1.315
2324,NJ,Essex County,285587,29889325,21129,1779338,18948,1454366,-2181,-0.764
470,MI,Alger County,3280,188939,149,6626,192,9383,43,1.311
2570,MS,Yazoo County,7457,319822,383,14131,300,10840,-83,-1.113
2993,ND,Billings County,366,32302,26,1697,-1,-1,-27,-7.377000000000001
2204,MO,Montgomery County,4085,206281,283,10675,257,10314,-26,-0.636
1647,WY,Platte County,3304,202745,227,10096,223,10986,-4,-0.121
857,NE,Howard County,2400,124888,128,5180,144,7391,16,0.667
1403,MN,Itasca County,16557,1049823,791,39628,807,46373,16,0.09699999999999999
83,AL,Limestone County,30768,2193176,2125,140568,3100,201811,975,3.1689999999999996
1866,WV,Pendleton County,2696,120750,101,3291,92,3452,-9,-0.33399999999999996
892,MO,Taney County,18346,826502,1862,65510,1978,92762,116,0.632
2409,CA,Humboldt County,44348,2697164,2945,130408,2563,104319,-382,-0.861
220,VA,Frederick County,32111,2427790,2551,143722,3233,206752,682,2.124
1049,MI,Menominee County,8959,530668,459,18541,498,22254,39,0.435
131,OR,Curry County,8267,451318,709,40423,932,50851,223,2.697
2818,ND,Bottineau County,2559,168568,142,8993,96,5989,-46,-1.798
412,WI,Iron County,2538,132850,133,4832,169,9632,36,1.4180000000000001
2513,NY,Albany County,120730,10474028,9564,655639,8341,539692,-1223,-1.013
1583,TX,Crane County,1491,99844,100,9058,99,4537,-1,-0.067
2502,WV,Gilmer County,1921,107858,116,4341,97,3467,-19,-0.9890000000000001
1965,NE,Antelope County,2378,126571,120,4689,110,4501,-10,-0.42100000000000004
2594,KY,Lawrence County,4312,214400,302,11593,252,8708,-50,-1.16
1856,KY,Carter County,8169,407252,433,14736,406,15021,-27,-0.331
939,IA,Adair County,2761,149122,151,5757,167,6431,16,0.58
281,MT,Lincoln County,6468,312603,449,19442,571,29008,122,1.886
64,TX,Rains County,3428,192209,333,14065,449,29296,116,3.384
629,AZ,Pima County,357693,23566216,18183,1047202,21813,1426356,3630,1.015
1270,IL,Franklin County,13164,687461,726,29408,754,27507,28,0.213
1903,NE,Gage County,8212,480936,474,20509,444,19250,-30,-0.365
564,VA,Rockingham County,30142,2001091,1773,90463,2111,118957,338,1.121
794,AR,Conway County,6395,362676,421,17130,468,19374,47,0.735
2530,IA,Crawford County,6241,354185,388,15219,323,11859,-65,-1.041
2450,OH,Noble County,4365,250675,226,8785,186,8113,-40,-0.9159999999999999
198,MO,Warren County,12108,764850,984,45967,1258,65043,274,2.263
2584,MT,Daniels County,706,42971,28,1382,20,846,-8,-1.133
142,FL,Washington County,6943,326528,650,22441,833,33024,183,2.636
2143,AR,Franklin County,5141,276520,423,14324,393,15118,-30,-0.584
1871,MT,Musselshell County,1490,78361,129,3655,124,6097,-5,-0.336
