State,County Name,Median Home Price 2017
CO,Crowley County,89013
CO,Custer County,277315
CO,Delta County,230295
CO,Denver County,440108
CO,Dolores County,136256
CO,Douglas County,522315
CO,Eagle County,526150
CO,Elbert County,423288
CO,El Paso County,307975
CO,Fremont County,178697
CO,Garfield County,361637
CO,Gilpin County,336068
CO,Grand County,318303
CO,Gunnison County,350580
CO,Hinsdale County,363424
CO,Huerfano County,153456
CO,Jackson County,191317
CO,Jefferson County,454589
CO,Kiowa County,92922
CO,Kit Carson County,145414
CO,Lake County,220690
CO,La Plata County,398382
CO,Larimer County,397354
CO,Las Animas County,162949
CO,Lincoln County,147536
CO,Logan County,166076
CO,Mesa County,252653
CO,Mineral County,311602
CO,Moffat County,188972
CO,Montezuma County,221025
CO,Montrose County,226163
CO,Morgan County,181935
CO,Otero County,102527
CO,Ouray County,469749
CO,Park County,292180
CO,Phillips County,148095
CO,Pitkin County,662964
CO,Prowers County,105431
CO,Pueblo County,187518
CO,Rio Blanco County,224488
CO,Rio Grande County,159710
CO,Routt County,514423
CO,Saguache County,167640
CO,San Juan County,300880
CO,San Miguel County,541674
CO,Sedgwick County,102192
CO,Summit County,611701
CO,Teller County,295633
CO,Washington County,134358
CO,Weld County,333103
CO,Yuma County,166188
CT,Fairfield County,435477
CT,Hartford County,248011
CT,Litchfield County,267324
CT,Middlesex County,289380
CT,New Haven County,251601
CT,New London County,242504
CT,Tolland County,250686
CT,Windham County,203646
DE,Kent County,230026
DE,New Castle County,276686
DC,District of Columbia,644349
FL,Alachua County,186443
FL,Baker County,134667
FL,Bay County,195367
FL,Bradford County,97983
FL,Brevard County,213006
FL,Broward County,287165
FL,Calhoun County,86614
FL,Charlotte County,210926
FL,Citrus County,139558
FL,Clay County,197607
FL,Collier County,384575
FL,Columbia County,157530
FL,DeSoto County,90620
FL,Dixie County,77520
FL,Duval County,206726
FL,Escambia County,158976
FL,Franklin County,146487
FL,Gadsden County,109867
FL,Gilchrist County,104516
FL,Glades County,86723
FL,Gulf County,163918
FL,Hamilton County,79577
FL,Hardee County,87914
FL,Hendry County,86290
FL,Hernando County,160168
FL,Highlands County,108485
FL,Hillsborough County,239746
FL,Holmes County,100040
FL,Indian River County,215361
FL,Jackson County,102746
FL,Jefferson County,142838
FL,Lafayette County,109784
FL,Lake County,206194
FL,Lee County,240634
FL,Leon County,218325
FL,Levy County,96034
FL,Liberty County,67559
FL,Madison County,94410
FL,Manatee County,254020
FL,Marion County,151718
FL,Martin County,313672
FL,Miami-Dade County,317347
FL,Monroe County,556173
FL,Nassau County,260215
FL,Okaloosa County,225885
FL,Okeechobee County,97333
FL,Orange County,260971
FL,Osceola County,220334
FL,Palm Beach County,311619
FL,Pasco County,181269
FL,Pinellas County,221451
FL,Polk County,170718
FL,Putnam County,93760
FL,St. Johns County,330940
FL,St. Lucie County,200737
FL,Santa Rosa County,213110
FL,Sarasota County,274763
FL,Seminole County,263198
FL,Sumter County,280414
FL,Suwannee County,100040
FL,Taylor County,91920
FL,Union County,96359
FL,Volusia County,192140
FL,Wakulla County,145007
FL,Walton County,246743
FL,Washington County,111191
GA,Appling County,76742
GA,Atkinson County,66524
GA,Bacon County,77912
GA,Baker County,79120
GA,Baldwin County,115804
GA,Banks County,137198
GA,Barrow County,175234
GA,Bartow County,185317
GA,Ben Hill County,86427
GA,Berrien County,92281
GA,Bibb County,124269
GA,Bleckley County,105160
GA,Brantley County,73725
GA,Brooks County,95123
GA,Bryan County,216891
GA,Bulloch County,144117
GA,Burke County,92306
GA,Butts County,136131
GA,Calhoun County,52154
GA,Camden County,164446
GA,Candler County,94304
GA,Carroll County,148792
GA,Catoosa County,148503
GA,Charlton County,87492
GA,Chatham County,206998
GA,Chattahoochee County,85366
GA,Chattooga County,72910
GA,Cherokee County,281337
GA,Clarke County,189477
GA,Clay County,63756
GA,Clayton County,115963
GA,Clinch County,67162
GA,Cobb County,284923
GA,Coffee County,93239
GA,Colquitt County,89940
GA,Columbia County,214491
GA,Cook County,93452
GA,Coweta County,239546
GA,Crawford County,98759
GA,Crisp County,89301
GA,Dade County,131919
GA,Dawson County,226661
GA,Decatur County,116869
GA,DeKalb County,223860
GA,Dodge County,78125
GA,Dooly County,88556
GA,Dougherty County,100916
GA,Douglas County,180724
GA,Early County,88024
GA,Echols County,58680
GA,Effingham County,167212
GA,Elbert County,87066
GA,Emanuel County,83554
GA,Evans County,88982
GA,Fannin County,182541
GA,Fayette County,314390
GA,Floyd County,145615
GA,Forsyth County,391587
GA,Franklin County,108141
GA,Fulton County,343072
GA,Gilmer County,172855
GA,Glascock County,70887
GA,Glynn County,184528
GA,Gordon County,127193
GA,Grady County,117614
GA,Greene County,187117
GA,Gwinnett County,246492
GA,Habersham County,146032
GA,Hall County,212437
GA,Hancock County,70355
GA,Haralson County,131089
GA,Harris County,203541
GA,Hart County,139646
GA,Heard County,112602
GA,Henry County,190023
GA,Houston County,135862
GA,Irwin County,86427
GA,Jackson County,198506
GA,Jasper County,134114
GA,Jeff Davis County,82915
GA,Jefferson County,73655
GA,Jenkins County,62905
GA,Johnson County,68333
GA,Jones County,132102
GA,Lamar County,148344
GA,Lanier County,105006
GA,Laurens County,90472
GA,Lee County,156051
GA,Liberty County,121468
GA,Lincoln County,123042
GA,Long County,118444
GA,Lowndes County,137434
GA,Lumpkin County,187650
GA,McDuffie County,109380
GA,McIntosh County,121830
GA,Macon County,65246
GA,Madison County,137719
GA,Marion County,90172
GA,Meriwether County,102294
GA,Miller County,94197
GA,Mitchell County,87811
GA,Monroe County,169256
GA,Montgomery County,81425
GA,Morgan County,221603
GA,Murray County,101638
GA,Muscogee County,145237
GA,Newton County,166382
GA,Oconee County,285404
GA,Oglethorpe County,126620
GA,Paulding County,190919
GA,Peach County,134111
GA,Pickens County,208062
GA,Pierce County,105373
GA,Pike County,181508
GA,Polk County,112398
GA,Pulaski County,118252
GA,Putnam County,179560
GA,Quitman County,71739
GA,Rabun County,167959
GA,Randolph County,71633
GA,Richmond County,108633
GA,Rockdale County,174561
GA,Schley County,100903
GA,Screven County,83979
GA,Seminole County,82170
GA,Spalding County,133442
GA,Stephens County,104841
GA,Stewart County,55135
GA,Sumter County,87918
GA,Talbot County,86427
